id, varRNN, varRL,,averageRNN,,averageRL
A10FTGEV1WR18H,-94.48494176,-79.50379401,,-100.2662144,,-88.69303193
A1171IQSWQS0K8,-89.43756286,-78.79972016,,,,
A19317A3X87NVM,-105.6938118,-65.21734178,,,,
A1CQ0A0GDCNWQM,-104.0089455,-91.58130176,,,,
A1NUO93OHZREC3,-106.0328247,-112.7834993,,,,
A1VFRCYMWGWWCZ,-117.5342718,-132.650046,,,,
A23A5GN4EU95BU,-96.41451373,-91.85887927,,,,
A27KDTUI0H1KJV,-78.85647159,-67.95490631,,,,
A2AJA3UXBCKD9X,-117.1625263,-118.0650035,,,,
A2B8JGCVGBDTL5,-94.86558499,-70.20944985,,,,
A2CAMPAA7650H2,-76.96139266,-65.66512151,,,,
A2GXLM74C7BDI8,-106.126517,-79.81588038,,,,
A2HJDLSU95MH8Q,-84.64089606,-72.0482382,,,,
A2OLSZ6DD9I239,-85.65365924,-69.70547198,,,,
A2S6QOCFC3EAYH,-98.36251579,-76.50161647,,,,
A2WQPFE3ZGE5N8,-86.87594654,-64.75971308,,,,
A2WSVHUR3V9TTJ,-104.264151,-74.75809425,,,,
A2WZ71TT9AJPV,-114.5862288,-103.5625826,,,,
A34CPKFZXBX1PO,-92.69641388,-71.86265719,,,,
A36YITYE70JBQQ,-105.8177585,-84.61630861,,,,
A376DD71XY793G,-85.98258228,-75.24533018,,,,
A3CDWPBKYDDASL,-127.8301276,-126.6977925,,,,
A3DUAHX5VT0ZMY,-102.8589826,-92.88161409,,,,
A3KKY9HXZRRAIV,-74.27476876,-70.01082453,,,,
A3MLNAZCS0Y2QP,-102.4075453,-65.2751656,,,,
A3N62A1YVDMKS5,-116.7941707,-110.8389074,,,,
A3NI2W5HH47HP6,-81.06889239,-69.59891369,,,,
A3O9J3V0K06IP2,-121.970908,-119.1746202,,,,
A3VPD34C23PQTQ,-123.8493072,-132.047553,,,,
A3XU8C72O6LCD,-85.82143,-67.93803307,,,,
A7G6TFAYTV2FC,-85.3492447,-82.04791112,,,,
ADU7XJYUJLGNA,-96.70191946,-73.91523702,,,,
AEUTD1DUJTF2I,-122.6634432,-128.4871528,,,,
AH4KZU52G2WCN,-92.46651162,-73.17501373,,,,
AKMQH2MGTUWO9,-110.7136507,-114.1704882,,,,
AQ9CUPOYWCR7F,-95.67339499,-77.85676999,,,,
AV8GCOTWEB6MP,-122.946117,-130.3612282,,,,
