id, varRNN, varRL,,Ave RNN,Ave RL
A1C5F4UVUBL1E6,-91.88446381,-92.46178347,,,
A1CDDS7NQPDMTO,-109.8503501,-105.561252,,,
A1COS8FJCDM53I,-115.0406224,-140.3045916,,,
A1CQ0A0GDCNWQM,-104.4735744,-93.03941058,,,
A1CR7O77ZW0QQU,-79.97774874,-78.29386152,,,
A1D81EKB5SHTMR,-92.42128529,-97.96951267,,,
A1DP4BJKMEF6LS,-83.07612583,-68.52202553,,,
A1E6CS5JV5MNGI,-117.7942932,-103.1558674,,,
A1E7IRBPHID9JC,-88.78929685,-75.51828275,,,
A1F4TB5AD4LKLO,-126.049253,-159.2167794,,,
A1G399CGVV8MYK,-119.5725126,-108.9868012,,,
A1GCLJLWQMWL0G,-116.9554846,-127.4632987,,,
A1GSEK9J872N9R,-92.75988777,-82.06452551,,,
A1HA5WALONI2FD,-75.91228704,-65.878043,,,
A1HFPDHBLO6KZW,-122.1382354,-123.0209901,,,
A1HKYY6XI2OHO1,-121.5025479,-123.4049063,,,
A1HP506HGINWSV,-86.8347249,-74.40535893,,,
A1HYU54H5V004N,-76.73308551,-70.03860442,,,
A1I90G6VKLPULO,-114.0669258,-119.5640028,,,
A1J7N95EW8EGCX,-84.26224413,-83.12817848,,,
A1JM5XNB4NCZR6,-67.70317696,-70.97700112,,,
A1JSVBR3BE3FJP,-117.0223071,-131.9277141,,,
A1JVA6HGVN1D5N,-84.59008554,-72.04761733,,,
A1JX9ROLDPIVTX,-97.31280494,-75.42707889,,,
A1K581IY10MNC0,-92.56119782,-90.54697981,,,
A1KFV732TWXROL,-95.87712874,-96.75431434,,,
A1KIL2V6SMJBGX,-107.8053049,-108.5215902,,,
A1L69N4ECWU93U,-78.90672564,-66.45798592,,,
A1L7B0F8PVW1D0,-116.0488475,-117.480327,,,
A1LCCAV2FSJTR0,-120.5172287,-145.3988813,,,
A1LF01EM2Q2GHY,-85.12040707,-81.70284665,,,
A1LM1DDPWK7FFA,-80.48008857,-82.56629754,,,
A1LQOCAT553X7G,-71.67870764,-70.255824,,,
A1LSFPPDGORPB0,-108.9468507,-101.0584484,,,
A1M1E62KXCDNL0,-99.61621952,-100.3704253,,,
A1MJVTR0PCKBWW,-93.82216605,-105.7548511,,,
A1MT52IO9GBZ1M,-130.9756567,-138.6512294,,,
A1NUO93OHZREC3,-98.51933468,-122.1982648,,,
A1OEH7O06Z8J0M,-88.66957855,-79.25269643,,,
A1OZ1S22HC1MAC,-123.6765521,-136.8942833,,,
A1PDF57SAMGMF0,-127.5642219,-165.3936962,,,
A1PUIGT83JOHH6,-94.00862825,-86.54300802,,,
A1QD1AI1FFZF35,-81.31170371,-85.70894999,,,
A1QEQ64E22TNUZ,-92.41965352,-79.38998675,,,
A1QONOC90I9YMI,-93.55968232,-83.37924942,,,
A1RMC2LZQUM9L6,-92.11830334,-76.49905964,,,
A1RS4KNXAF23WF,-85.59579025,-81.81958817,,,
A1S88VQY8G8CNC,-134.9796264,-171.7485558,,,
A1T429RLLFTG35,-101.2801583,-100.8260839,,,
A1T4HSFG9NPJ23,-112.0709612,-101.2917342,,,
A1TSJY4RCQHI4O,-82.72843042,-66.45568297,,,
A1U69QDM8UIXZ5,-85.07405114,-71.94299783,,,
A1UKZRDH1T231M,-86.02473221,-77.09999953,,,
A1V0HSH4Q63V5W,-75.09561316,-72.72382362,,,
A1V339VY5CNWLS,-86.39510386,-79.49980851,,,
A1VKHYT7FMVVYS,-109.8133688,-111.7453316,,,
A1VRBTDT3VJSIA,-130.7703871,-157.582474,,,
A1W1QA5KGVZBLC,-92.63785471,-79.90018016,,,
A1X0H6VAK3AQE9,-87.99427269,-80.41138381,,,
A1XBXUIT5932A1,-96.61513508,-94.80255906,,,
A1XE5G7H6AO5HH,-107.1484308,-110.2438417,,,
A1XU9GFZAGFJ5B,-73.57806881,-67.60095718,,,
A1Y9D4RKC3BZQ3,-122.3055052,-128.8453632,,,
A1YCGICA8XCNBH,-95.82038939,-84.587109,,,
A1YG4MA6SPSEW,-94.99453489,-95.8117114,,,
A1YGJPSS0T3O6J,-143.6389961,-148.3100057,,,
A1YQ54ZCCS1G1C,-114.0885911,-87.58464833,,,
A1YR0204H9JTNK,-100.7655907,-114.7970588,,,
A1YXTSIV0YB8RW,-118.8341796,-128.8435386,,,
A1YY9C43J4LJTF,-95.89897351,-71.45117367,,,
A1Z2QEEPKEK1X1,-101.3845745,-123.3932013,,,
A1ZNMX8WJCDKQQ,-95.56681708,-89.04675536,,,
A208A2GT4OHJOG,-89.54029041,-75.18264589,,,
A20KWU6IJJX5AT,-70.47231721,-70.22431979,,,
A20VSS4MA17WZ6,-91.08932006,-88.03391069,,,
A2179410P3XBIQ,-104.135194,-101.4794716,,,
A21D9YDJU8K2QI,-107.5051026,-105.8278869,,,
A21OI3HYUF3J07,-79.37559016,-67.61894557,,,
A21ZK49H9LSSRY,-95.85178459,-81.56659834,,,
A21ZNPDJNBKCWG,-95.4404164,-91.93569325,,,
A220CQRMPT29DB,-97.37961489,-99.58038279,,,
A222R4PNCF08OF,-104.1582485,-114.3115517,,,
A2259HGMTESQVX,-102.5302606,-82.20895753,,,
A22DDO8NILSX6O,-112.7922701,-98.30999485,,,
A22J5H2RJVHOAA,-122.0729836,-149.2936585,,,
A22JJ0QDYX1JTP,-114.502815,-147.0467117,,,
A22ZB2132UJB6Y,-105.7799355,-105.3191524,,,
A22ZZCICZDCSTY,-90.21533046,-73.91785252,,,
A235ULDV4XUVDM,-127.8394221,-125.8437097,,,
A237TMG0AIG9PX,-102.123998,-97.06880001,,,
A23A5GN4EU95BU,-90.97614086,-94.48268045,,,
A24CG5BTB8KQ39,-113.793831,-128.3740253,,,
A24FB6EEAEZKA4,-89.46987288,-82.68562258,,,
A2509PSPWX47EP,-77.50477819,-91.9654746,,,
A25F4TGI1HAZLZ,-95.31429904,-107.3403615,,,
A25LHXY3SAOVBV,-92.22761609,-78.02719524,,,
A261ZPN1DBO1GT,-109.4222589,-131.8084246,,,
A26U302WESU9UH,-89.19959059,-73.00497399,,,
A27UMIQQM5ELH,-122.369772,-116.4045748,,,
A27YZB3G8P1DTE,-71.75046302,-66.15658286,,,
A27ZW1CY6TMKT8,-82.4038954,-77.91387569,,,
A288RSAGJBLY9,-88.26805544,-82.43658093,,,
A28JBDTFGFJ5NR,-97.98300106,-83.38044377,,,
A28UKEK37QVJCG,-87.79319268,-75.32918587,,,
A29PKMLH38N148,-74.41896635,-74.58684381,,,
A2AJA3UXBCKD9X,-114.9490583,-121.2682645,,,
A2AO52H6JDHA83,-92.76697307,-96.51872566,,,
A2APR9RN3LEJE8,-99.94707862,-91.82798181,,,
A2AWSN5CWONM8,-94.90298497,-86.68297944,,,
A2AXP68AJJ3B94,-72.36429257,-63.9406851,,,
A2B24SZ84FDQRO,-121.4159961,-148.4688428,,,
A2BIYAB893B8LQ,-83.73492753,-74.33853407,,,
A2BK45LZGGWPLX,-89.50175327,-88.10560684,,,
A2BLXPUFVNXEPT,-78.58049663,-64.12179732,,,
A2BWFW7YIT6SXA,-86.90453631,-79.02010658,,,
A2BXSQ5UU72FIM,-85.08300573,-70.60730962,,,
A2C3NX6FY216V5,-117.9709492,-124.8507781,,,
A2C9NR5DY668JU,-122.3879461,-128.117197,,,
A2CAMPAA7650H2,-74.73552844,-65.32500401,,,
A2CISHIOILFDHN,-70.00641187,-58.88555539,,,
A2CMGWK84LFT84,-117.2923729,-136.2030389,,,
A2CWA5VQZ6IWMQ,-93.72971973,-77.84230077,,,
A2CY1TSQ3KKP5Q,-93.76588486,-83.16211322,,,
A2D3UKFHTXOX68,-93.467237,-70.97123438,,,
A2DC6TG86OSCRK,-94.81250827,-72.73794256,,,
A2DOMBSKO75VV7,-90.27779092,-84.25586047,,,
A2DZV5E6PH5NC4,-77.28096421,-68.16280525,,,
A2E0X56TAIMWDQ,-94.12283693,-89.24943793,,,
A2E3O3O0PPX3IQ,-92.47338276,-86.92762017,,,
A2E72ZI1VESTMR,-98.9654678,-92.85298823,,,
A2EGX50U9PI5JM,-90.72113076,-85.68390797,,,
A2ELH7YDLFNJUZ,-83.80258981,-73.09120441,,,
A2ESBX4C2Q6TQY,-94.48417817,-73.05041751,,,
A2FAJQUVSEXZRN,-84.42383731,-80.01973878,,,
A2FN1RVZKLEV0U,-110.8615003,-120.708653,,,
A2FOZBO97WR4RY,-119.2788097,-131.6457744,,,
A2FUQER3KRIXYJ,-74.41652302,-71.51910113,,,
A2G53Y36QD1ZGV,-110.9128582,-85.18125304,,,
A2G7F8S617H0BB,-94.2601184,-81.80473052,,,
A2GU5RTKQWJXNA,-122.8121276,-134.6675051,,,
A2GVON0W6E874S,-69.27062709,-67.3043293,,,
A2H557RQ3T3LPX,-126.218191,-153.9277593,,,
A2HU1HGGYUO3X6,-89.02172705,-70.19980826,,,
A2I3X8R5TE3REY,-80.06981351,-77.7757216,,,
A2I43BDUPAM00C,-92.24929246,-81.96204264,,,
A2IUAIVTQ1DSCR,-106.5791308,-93.30323783,,,
