sid,pre accu,post accu
A3APMO8WXVH1V0,,[0.68125]
A3BZG57OMOXD4E,,[0.55974843]
A3C99LYQMQISUF,,[0.725]
A3CDWPBKYDDASL,,[0.55345912]
A3DR9RNUCUM0HF,,[0.74213836]
A3DUAHX5VT0ZMY,,[0.7]
A3FH7YRKBEQ2LU,,[0.75625]
A3G5IPGLH1IIZN,,[0.74375]
A3GEXZD5FXGMHD,,[0.68789809]
A3GUF18IX4RGJK,,[0.69811321]
A3HGCI4HL815H,,[0.73125]
A3HHY0ZZ6PC2YW,,[0.52531646]
A3IOPUZ29U29SA,,[0.5]
A3IXWFXJC2YKU7,,[0.75]
A3JGE5CQMB3MYN,,[0.63125]
A3KKY9HXZRRAIV,,[0.76875]
A3L2VS3998R77L,,[0.66455696]
A3LMVIJG7ND5UN,,[0.63125]
A3LT1TCMEGY73D,,[0.62264151]
A3M6YNC0RI36QY,,[0.5375]
A3MA5BJ4I2JAO2,,[0.72955975]
A3MF22SGH75VO3,,[0.61392405]
A3MKQ62CNO0MM8,,[0.70440252]
A3MKXZZXAUHDFM,,[0.74375]
A3MLNAZCS0Y2QP,,[0.66037736]
A3N1B3W5PS6D5S,,[0.6625]
A3NI2W5HH47HP6,,[0.7875]
A3NM4Y7V4UEMM3,,[0.61875]
A3P1BYNYNVNMNA,,[0.5443038]
A3QII655RKPN8L,,[0.62580645]
A3S5XPHDMQ2ESR,,[0.5890411]
A3SITQVLF6JA08,,[0.73125]
A3SSR32EZYJ8QD,,[0.75625]
A3STW7EL76T5YN,,[0.59235669]
A3T9OPOX78GYUI,,[0.75625]
A3UJAEUA1BAK8O,,[0.6375]
A3VUGE6RSDHBV0,,[0.55625]
A3XU8C72O6LCD,,[0.76433121]
A4ZCS7YTJS0DF,,[0.825]
A59L67EZKMC3V,,[0.60377358]
A5L8F0YF1OVY8,,[0.52201258]
A5M58F7N23SEE,,[0.71875]
A5TI9UQEPLNWI,,[0.66666667]
A5XXFZT973KSF,,[0.71974522]
A6ZWMPYCMBT0Y,,[0.79375]
A8UNVAKQHADKT,,[0.7721519]
