sid,pre accu,post accu
A31545Y7L2F07S,,[0.725]
A318574M8Q965P,,[0.46496815]
A31PXEBRLT9LW,,[0.70253165]
A321WQIFK10UV3,,[0.6163522]
A327V746DXH6ID,,[0.61875]
A32EDXXUOTLBPP,,[0.61875]
A32LHQYJY0ELFS,,[0.69811321]
A32W24TWSWXW,,[0.69375]
A33JAZ9472BD3T,,[0.66242038]
A34051YREUMGHU,,[0.64779874]
A342YLIMT6THWO,,[0.625]
A34DYM8J0X5VK,,[0.63125]
A35QZFRG4FKK3Z,,[0.71875]
A362RXUHDXF7EA,,[0.57861635]
A36EDYMS6VYHW1,,[0.56875]
A36PRTZFECB76C,,[0.61006289]
A36UNYMDBED99W,,[0.68553459]
A371H3PQPR2Z8J,,[0.71518987]
A37PNAIK1TKLVS,,[0.75]
A38RHRTIP0PYNU,,[0.5125]
A39J8MSTUDVH0D,,[0.55974843]
A3B6CJ8OHWI4AU,,[0.6875]
A3BBR5O4W6XHBV,,[0.6163522]
A3BOU4ZZPTFC82,,[0.66025641]
A3C8JI69WPTKWH,,[0.71875]
A3CI9V0ENNLUAT,,[0.6625]
A3CWEN6Y21V7TL,,[0.79746835]
A3DDYGSM8CLJW,,[0.64556962]
A3FJ3XMXO8UAJ0,,[0.67924528]
A3G73IWKEPXRUW,,[0.4591195]
A3GHYD28ZZ3IEN,,[0.49375]
A3GMRPF5MCQVGV,,[0.6875]
A3GP8FXH7J96UK,,[0.55974843]
A3GRGGYSMH5PNI,,[0.4625]
A3GWRDHAURRNK6,,[0.8]
A3H5L5LX61DGY2,,[0.54375]
A3HSONMX6LNZR4,,[0.71069182]
A3I2PT6W0FP7BR,,[0.71518987]
A3I5P7QF8N9LPW,,[0.80625]
A3IIA92PUAI331,,[0.6625]
A3IU2E7QCWYEZI,,[0.65]
A3J2JEHSHC6T5R,,[0.55]
A3JAU7FJ0JJ1IU,,[0.6875]
A3JCWV0B4T0LW9,,[0.69375]
A3JPWEQUCQNQDB,,[0.65822785]
A3JWQDS7KDKLQM,,[0.71875]
A3K5YBCBVBM3RY,,[0.71612903]
A3KWYUV3VSNIZA,,[0.69811321]
A3L8LSM7V7KX3T,,[0.75625]
A3MTNLK7KQ89WE,,[0.51875]
A3N8N9OZZ3JNW1,,[0.72327044]
A3NQK6VK36A4GA,,[0.60377358]
A3O8K08MXAW5C6,,[0.73125]
A3O9YVUSD9YYJE,,[0.62420382]
A3PJLANVHZPRVO,,[0.7875]
A3PTOOTI7ESD5W,,[0.5]
A3QIG18VHBXBSZ,,[0.66666667]
A3QQ2JW1N0Z49X,,[0.73125]
A3R1X7QCXV61JJ,,[0.58064516]
A3R5P4URN7QKU8,,[0.50625]
A3SOJ9C6L2U7AQ,,[0.65408805]
A3V5O8N34LPUSG,,[0.74375]
A3VO1VCYS30YGW,,[0.61392405]
A5BCSSPC180AG,,[0.63125]
A5E2P5F1AXYZ1,,[0.625]
A5ZNFLOZ9UVUO,,[0.70625]
A6AU0NC2XUGW,,[0.55345912]
A6QR4K322HT3T,,[0.73584906]
A7PEDAB3ALEYA,,[0.65384615]
A827A0PSD3R10,,[0.56875]
A8E99XNOTT390,,[0.68125]
A8X1YI90JPSGP,,[0.6875]
AB3L4DBGHX7PG,,[0.67088608]
AB8BRFF4ZTZ40,,[0.7625]
AB9V7IERF6S1C,,[0.7125]
AD3TJJF3AW5SO,,[0.74375]
ADL6HFLKUSQOZ,,[0.56493506]
AE363E5ESWSXJ,,[0.81875]
AEQT4MJIZFCZ4,,[0.5625]
AFERIASET17LW,,[0.60625]
AFXQR60UTDKIY,,[0.60377358]
AGNJKSH5LFKXZ,,[0.825]
AHDWS7GSL9Q7C,,[0.6875]
AIGUTKZMZ9LNR,,[0.77358491]
AIZUOHKQT14OM,,[0.48427673]
AJ6QCYY26SCV2,,[0.71698113]
AJNQ2PBD07FKE,,[0.6875]
AJQGWGESKQT4Y,,[0.63291139]
AJTPDPN27UCUS,,[0.75625]
ALQEVX2DSDWEQ,,[0.71875]
AM0R6CV53UZ2C,,[0.57861635]
AM1EIZHV3K7F2,,[0.58227848]
AMA4SXSYNC35I,,[0.65]
AMC79JNNDINXM,,[0.6375]
AMHVH9MFHO5DE,,[0.63057325]
AP4FDDWBJW47O,,[0.6125]
AP6WTJVPDJQPK,,[0.775]
APXFQMO4UO5XQ,,[0.59375]
AQKPTR00R0X67,,[0.66875]
AR117V5SHH230,,[0.79375]
ARI1EMAHUA9PO,,[0.67295597]
ARJUW4XQOJNJR,,[0.59493671]
AT8DDSZUBOC80,,[0.6625]
AU954O2L5LLGJ,,[0.7375]
AUD7TLZZGCN7W,,[0.8]
AV7OKGJ2PJO30,,[0.59493671]
AVIPOL2XSM41P,,[0.775]
AVJ7MQZ6AQF5M,,[0.7875]
AVMRJOB0ZA7PB,,[0.68152866]
AWB4J1GY0YL1J,,[0.69811321]
AWHHFZC0BCNVF,,[0.44936709]
AWKUOA7M4P8YI,,[0.70886076]
AY7WPVKHVNBLG,,[0.74842767]
AYDJVEDZ1Q3DW,,[0.55882353]
AYN0TD4NTSBI3,,[0.5625]
AZ330Q7B1O9R6,,[0.6125]
