sid,pre accu,post accu,,
,,,,
S226,,[0.6875],,0.6875
,,,,
S227,,[0.73125],,0.73125
,,,,
S228,,[0.76875],,0.76875
,,,,
S229,,[0.68553459],,0.68553459
,,,,
S230,,[0.58227848],,0.58227848
,,,,
S231,,[0.6375],,0.6375
,,,,
S232,,[0.75625],,0.75625
,,,,
S233,,[0.7625],,0.7625
,,,,
S234,,[0.61875],,0.61875
,,,,
S235,,[0.58490566],,0.58490566
,,,,
S236,,[0.73125],,0.73125
,,,,
S237,,[0.7],,0.7
,,,,
S238,,[0.57594937],,0.57594937
,,,,
S239,,[0.775],,0.775
,,,,
S240,,[0.7875],,0.7875
,,,,
S241,,[0.69426752],,0.69426752
,,,,
S242,,[0.66037736],,0.66037736
,,,,
S243,,[0.64556962],,0.64556962
,,,,
S244,,[0.6875],,0.6875
,,,,
S245,,[0.55625],,0.55625
,,,,
S246,,[0.6918239],,0.6918239
,,,,
S247,,[0.69375],,0.69375
,,,,
S248,,[0.57861635],,0.57861635
,,,,
,,,,0.677959689
