id, varRNN, varRL
A2KW17G25L25R8, -108.30710396928235, -111.95969013976766
A2LJTCHPRZLGS7, -117.09339936876869, -171.83015166508744
A2M9JNCHRKMCC4, -117.56342541519545, -152.21088401779903
A2MF0OZ7Q0J4UP, -108.4986116558117, -132.4482104736924
A2NMLTECRDWFN2, -104.38800933110853, -108.95652248002301
A2OLQUU01EOJLH, -110.1981375806089, -147.66659945627217
A2P22X4GQWQ8Z1, -107.49636007167112, -146.8416815233335
A2P5UFOTXOR08T, -105.22265717027594, -120.97252703262514
A2P8V5SKYLL5I4, -108.748559863652, -111.11880233222804
A2QIX7DNN0DZY6, -115.59168367389736, -152.80973430179793
A2R1011DR8EXHQ, -96.68618269037728, -120.79269850422584
A2S6QOCFC3EAYH, -104.41918633674479, -137.32025344232864
A2SLEMDA17XTZ1, -107.31480013239887, -123.19036590048925
A2TV18A7NQF6I5, -111.24909791616892, -139.30841934184096
A2V3P1XE33NYC3, -111.43051809655806, -238.36631251692313
A2VGFS03KCCR1Q, -107.87385712519155, -121.88695196742121
A2VO8C41JJIQY9, -116.96406659594535, -261.6262923539127
A2VPCWI6X1QCDF, -107.32621920680965, -169.48638838708328
A2WSSRWT4ZBHK3, -111.9735393584444, -144.9233980659766
A2WTNZHRALOHX8, -113.02772634480579, -112.2753007508393
A2YCDNVHMPVFG6, -104.48189438996151, -114.23254709168596
A2YZVS6MBFQQPQ, -118.01703962922834, -181.1298273295907
A2Z75NJBZ46RE9, -115.84192819680844, -183.2188989399946
A2ZDJLY20J6678, -110.7799722920664, -111.0634388314971
A2ZIO0ZTIXOE9J, -109.18332443330989, -215.3269412749784
A2ZZ7GUR0MNWDC, -109.2117200489625, -138.02572771630997
A302KOFOYLD89A, -109.64966028504408, -145.6978135499651
A30GCTXJ17JC3I, -122.54974315159353, -112.18924267691628
A30H28F41UBJGK, -124.6404040926678, -112.89095100222147
A30VLIFQPJZ17P, -112.84762271661425, -128.17938047227653
A30Z3CWKO1B6R7, -105.56597205839596, -183.11876390375403
A318574M8Q965P, -118.2856304521777, -113.32285891988529
A327V746DXH6ID, -106.47709144321713, -128.1792972798298
A32LHQYJY0ELFS, -120.86462258841851, -123.20121500167572
A32W24TWSWXW, -106.31667464014052, -126.86585802274176
A34051YREUMGHU, -108.24519452681321, -141.22726078714786
A342YLIMT6THWO, -104.04386805579668, -125.97554281374646
A348UZASXTNGWR, -110.72348013552386, -128.41701549262078
A34DYM8J0X5VK, -117.32424309505274, -126.05626761317525
A34VID9K8BKKSH, -104.35361105754716, -123.04228790466784
A362RXUHDXF7EA, -111.22600626205246, -113.47279146809556
A363NKR14886XG, -127.62843746261137, -182.9666996686139
A36EDYMS6VYHW1, -108.44415520344505, -111.81030120683792
A36PRTZFECB76C, -108.78657728450307, -146.17140459088995
A371H3PQPR2Z8J, -107.1615676473818, -177.60226105809429
A377LTGWJKY2IW, -116.32173460173331, -173.12701576813618
A37DKV7XQI7N5J, -118.30413617731251, -247.09387010671938
A37XA1JSSYORAZ, -116.55096935954656, -229.42939310368405
A38RHRTIP0PYNU, -100.31614658326835, -111.13519625194733
