sid,pre accu,post accu,,
,,,,
S100,,[0.69791667],,0.69791667
,,,,
S91,,[0.79166667],,0.79166667
,,,,
S92,,[0.94791667],,0.94791667
,,,,
S93,,[0.828125],,0.828125
,,,,
S94,,[0.984375],,0.984375
,,,,
S95,,[1.],,1
,,,,
S96,,[1.],,1
,,,,
S97,,[0.875],,0.875
,,,,
S98,,[1.],,1
,,,,
S99,,[0.890625],,0.890625
,,,,
,,,,0.901562501
