,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,id,block
0,-0.7719259,1.9620011,0.96174353,0.47436416,0.05874245,-0.00039035827,-1.7262111,-0.16962618,-1.9289895,0.9607046,1.9753692,1.548183,0.17774658,-0.50916964,0.19934621,0.12508786,-0.16975075,0.7801989,-0.176538,0.045897193,-0.6179744,0.072008535,0.1103188,0.27302775,0.030536652,-0.0003871644,-0.07381909,-0.15265574,-0.045569647,0.58700347,0.058972724,0.027268462,0.04777093,-0.21329854,0.19322136,0.036869816,-0.010452085,0.6361351,-0.13449343,0.032319095,S100,0
1,-0.865392,2.868476,1.6340811,1.0210102,0.6681113,-0.51099116,-2.5307286,0.29359204,-2.770834,0.8184185,2.6602142,1.7734554,-0.50141275,-0.43750548,-0.6212793,0.0065005347,-0.083211154,0.33712357,-0.13152981,0.006678043,-0.65840936,0.090115435,0.2279876,0.15942833,0.3698017,-0.4578932,-0.31693712,0.21508057,-0.004639764,0.6560003,0.22066514,0.12736167,-0.37877578,-0.07839048,-0.5272325,0.00012883764,-0.0011340163,0.23050758,-0.056152824,0.004972273,S100,0
2,-1.2714529,3.5849333,1.8735479,1.0880549,0.8687053,-0.49457702,-3.2249415,0.33918735,-3.38922,-0.084017456,3.3254027,2.4150069,-1.3344071,-0.41183254,-1.3328707,-0.11615474,-0.19780223,0.17765039,-0.20369571,-0.5148306,-0.6611324,0.08210791,0.8096424,0.09021686,0.5897356,-0.36369506,-0.29146704,0.308972,-0.035106856,-0.0814453,0.33082056,0.56946325,-0.8053829,-0.08275467,-0.62861216,-0.01201446,-0.040775705,0.1561465,-0.008385254,-0.41656628,S100,0
3,-2.2050223,4.4801273,1.3513988,0.6304264,0.58386874,0.02211532,-3.7306476,0.10952142,-4.1947684,0.35386524,4.1998935,3.0727715,-1.7073903,-0.11249564,-1.7737675,-0.3665684,-0.6612311,0.86086154,-0.33947334,-0.32053292,-0.89700097,0.012569178,0.58574665,0.11054159,0.2651978,0.021785283,-0.0028638975,0.10800869,-0.039498433,0.30795288,0.0014163441,0.04968038,-0.2633459,-0.016084138,-0.847401,-0.3081523,-0.46146145,0.695902,-0.063345894,-0.2960271,S100,0
4,-2.4770823,5.2706194,1.5784223,1.0532513,0.35544527,-0.66021883,-4.038332,0.05960504,-4.6838136,0.21148683,4.510475,3.3450131,-2.4071794,-0.019397428,-2.56174,-0.6076351,-0.7895825,0.30225408,-0.4466129,-0.74912,-0.9243042,0.054278668,0.14173906,0.057685547,0.24856134,-0.55108476,-0.05073189,0.049836166,-0.01327982,0.20425409,0.047686435,0.33646595,-0.9363209,-0.004401711,-0.8607942,-0.090768665,-0.032165065,0.25529486,-0.024400817,-0.6142431,S100,0
5,-2.732605,5.8267803,1.5996816,0.6725526,-0.010978103,-0.9477339,-4.6168485,0.80408585,-5.0181465,-0.6491767,5.271265,3.9569905,-3.2665608,0.05031967,-3.1066315,-1.0817294,-0.92004496,-0.009290862,-0.5570747,-0.9409046,-0.768268,0.030198619,0.58303267,0.045764156,-0.008166298,-0.6074457,-0.08956616,0.61117935,-0.06106387,-0.5684149,0.025686607,0.21697009,-0.94424206,0.000990587,-0.5646929,-0.47461194,-0.30380353,-0.008694893,-0.016451597,-0.70722216,S100,0
6,-3.5831633,6.617742,0.9257911,0.7149323,-0.050838538,-0.46721968,-4.5197716,-0.10955495,-5.641315,-1.3744496,6.021521,4.69109,-1.6185325,0.026152113,-2.3535187,-1.4264978,-1.7851056,-0.5316271,-0.7884968,-0.48303562,-0.37059104,0.01619211,0.6167526,0.47591022,-0.017464196,-0.35468125,-0.0018828809,-0.094764575,-0.40521312,-0.8642904,0.0011457963,0.05783228,-0.12022872,0.00014625184,-0.5641883,-0.88204086,-0.9285686,-0.48477796,-0.23557933,-0.42798817,S100,0
7,-4.371101,7.2772746,0.8197308,0.521454,-0.3057069,-0.83182305,-3.1655312,-0.8408492,-5.7352033,-0.1745243,6.7596936,4.8861976,-1.8860339,0.37487185,-1.7630031,-1.7333395,-2.4785714,-0.065743044,-1.3069783,-0.15098895,-0.7544299,0.010891636,0.013772632,0.41642582,-0.15225638,-0.591805,-0.0011342245,-0.3040488,-0.43848664,-0.15852779,0.0044594584,0.07500578,-0.31464204,0.13730893,-0.77884734,-0.8590756,-0.40517336,-0.06424192,-0.1625749,-0.14394452,S100,0
8,-4.1264286,7.6691227,0.81572306,-0.15703213,-0.44081736,-0.95131576,-3.3167987,-0.82270044,-5.7468214,-0.9484064,7.1936493,5.017622,-2.6803372,0.1610367,-1.6246363,-1.7546815,-3.1226823,-0.07085677,-1.16863,0.43833727,-0.14541315,0.041036945,0.23805538,-0.14257355,-0.27649575,-0.16582486,-0.02969682,-0.21436407,-0.36013317,-0.73867077,0.03286877,0.44070792,-0.80037576,0.005256225,-0.46687934,-0.7122249,-0.4675583,-0.064316966,-0.034511574,0.3882553,S100,0
9,-3.4644763,8.38762,0.8362679,0.44922334,-0.8350636,-1.284968,-3.600338,-0.29874098,-6.2927084,0.38501728,7.918028,5.1496058,-3.4279516,0.11136684,-1.8860964,-0.7919477,-1.2650211,0.17186226,-1.0534569,0.5123148,-0.38613912,0.009801715,0.061592057,0.3337221,-0.45042634,-0.7398498,-0.009931634,-0.04611659,-0.016678011,0.36676526,0.048009,0.056604777,-0.68773925,0.0029895646,-0.90780836,-0.50302815,-0.050511803,0.1640202,-0.5458871,0.457893,S100,0
