,0,1,id,block
0,0.51373327,0.4862667,A002160837SWJFPIAI7L7,0
1,0.4898582,0.5101418,A002160837SWJFPIAI7L7,0
2,0.50151736,0.4984827,A002160837SWJFPIAI7L7,0
3,0.65616053,0.3438395,A002160837SWJFPIAI7L7,0
4,0.65738565,0.34261435,A002160837SWJFPIAI7L7,0
5,0.7796277,0.22037235,A002160837SWJFPIAI7L7,0
6,0.5044661,0.49553385,A002160837SWJFPIAI7L7,0
7,0.7597991,0.2402008,A002160837SWJFPIAI7L7,0
8,0.72196347,0.27803656,A002160837SWJFPIAI7L7,0
9,0.76548284,0.23451711,A002160837SWJFPIAI7L7,0
10,0.74727374,0.25272623,A002160837SWJFPIAI7L7,0
11,0.349631,0.65036905,A002160837SWJFPIAI7L7,0
12,0.6365319,0.36346817,A002160837SWJFPIAI7L7,0
13,0.6641734,0.33582658,A002160837SWJFPIAI7L7,0
14,0.24531221,0.7546878,A002160837SWJFPIAI7L7,0
15,0.6360206,0.36397943,A002160837SWJFPIAI7L7,0
16,0.5227306,0.4772694,A002160837SWJFPIAI7L7,0
17,0.58305585,0.41694412,A002160837SWJFPIAI7L7,0
18,0.51363593,0.48636407,A002160837SWJFPIAI7L7,0
19,0.5543708,0.44562915,A002160837SWJFPIAI7L7,0
20,0.26485398,0.73514605,A002160837SWJFPIAI7L7,0
21,0.48997486,0.5100252,A002160837SWJFPIAI7L7,0
22,0.3605805,0.6394195,A002160837SWJFPIAI7L7,0
23,0.5074297,0.49257028,A002160837SWJFPIAI7L7,0
24,0.52733064,0.47266936,A002160837SWJFPIAI7L7,0
25,0.4303516,0.56964844,A002160837SWJFPIAI7L7,0
26,0.58092695,0.41907305,A002160837SWJFPIAI7L7,0
27,0.54103273,0.4589672,A002160837SWJFPIAI7L7,0
28,0.6298641,0.37013593,A002160837SWJFPIAI7L7,0
29,0.14855114,0.8514489,A002160837SWJFPIAI7L7,0
30,0.4925292,0.5074708,A002160837SWJFPIAI7L7,0
31,0.38341454,0.61658543,A002160837SWJFPIAI7L7,0
32,0.6354246,0.36457542,A002160837SWJFPIAI7L7,0
33,0.18027227,0.8197277,A002160837SWJFPIAI7L7,0
34,0.62490857,0.37509137,A002160837SWJFPIAI7L7,0
35,0.41527444,0.58472556,A002160837SWJFPIAI7L7,0
36,0.49384466,0.5061553,A002160837SWJFPIAI7L7,0
37,0.20926262,0.7907374,A002160837SWJFPIAI7L7,0
38,0.1379877,0.86201227,A002160837SWJFPIAI7L7,0
39,0.32554668,0.6744533,A002160837SWJFPIAI7L7,0
40,0.5004132,0.49958682,A002160837SWJFPIAI7L7,0
41,0.5878459,0.41215408,A002160837SWJFPIAI7L7,0
42,0.5060836,0.49391633,A002160837SWJFPIAI7L7,0
43,0.45273286,0.54726714,A002160837SWJFPIAI7L7,0
44,0.44028202,0.55971795,A002160837SWJFPIAI7L7,0
45,0.5649144,0.4350856,A002160837SWJFPIAI7L7,0
46,0.30991036,0.69008964,A002160837SWJFPIAI7L7,0
47,0.20307551,0.7969245,A002160837SWJFPIAI7L7,0
48,0.7800936,0.21990636,A002160837SWJFPIAI7L7,0
49,0.7549821,0.2450179,A002160837SWJFPIAI7L7,0
50,0.283608,0.716392,A002160837SWJFPIAI7L7,0
51,0.69260514,0.3073949,A002160837SWJFPIAI7L7,0
52,0.74090165,0.25909832,A002160837SWJFPIAI7L7,0
53,0.3163868,0.6836132,A002160837SWJFPIAI7L7,0
54,0.84338707,0.15661295,A002160837SWJFPIAI7L7,0
55,0.36713535,0.63286465,A002160837SWJFPIAI7L7,0
56,0.5228486,0.47715133,A002160837SWJFPIAI7L7,0
57,0.6654914,0.3345086,A002160837SWJFPIAI7L7,0
58,0.7387747,0.2612253,A002160837SWJFPIAI7L7,0
59,0.5700357,0.42996427,A002160837SWJFPIAI7L7,0
60,0.35658365,0.6434164,A002160837SWJFPIAI7L7,0
61,0.40370667,0.59629333,A002160837SWJFPIAI7L7,0
62,0.40204322,0.5979568,A002160837SWJFPIAI7L7,0
63,0.6696326,0.33036745,A002160837SWJFPIAI7L7,0
64,0.3481597,0.65184027,A002160837SWJFPIAI7L7,0
65,0.79002154,0.20997852,A002160837SWJFPIAI7L7,0
66,0.51469857,0.48530138,A002160837SWJFPIAI7L7,0
67,0.4282222,0.57177776,A002160837SWJFPIAI7L7,0
68,0.587628,0.41237205,A002160837SWJFPIAI7L7,0
69,0.59238225,0.40761772,A002160837SWJFPIAI7L7,0
70,0.21267264,0.7873274,A002160837SWJFPIAI7L7,0
71,0.83292276,0.16707723,A002160837SWJFPIAI7L7,0
72,0.28420076,0.7157992,A002160837SWJFPIAI7L7,0
73,0.60348594,0.396514,A002160837SWJFPIAI7L7,0
74,0.8402371,0.15976283,A002160837SWJFPIAI7L7,0
75,0.38431904,0.61568093,A002160837SWJFPIAI7L7,0
76,0.7505741,0.24942584,A002160837SWJFPIAI7L7,0
77,0.5596501,0.44034988,A002160837SWJFPIAI7L7,0
78,0.81497085,0.18502921,A002160837SWJFPIAI7L7,0
79,0.6419983,0.35800165,A002160837SWJFPIAI7L7,0
80,0.8560879,0.14391208,A002160837SWJFPIAI7L7,0
81,0.8750081,0.124991864,A002160837SWJFPIAI7L7,0
82,0.6457158,0.35428423,A002160837SWJFPIAI7L7,0
83,0.62315804,0.37684196,A002160837SWJFPIAI7L7,0
84,0.6968265,0.30317348,A002160837SWJFPIAI7L7,0
85,0.55830413,0.44169584,A002160837SWJFPIAI7L7,0
86,0.70047295,0.29952702,A002160837SWJFPIAI7L7,0
87,0.39712647,0.60287356,A002160837SWJFPIAI7L7,0
88,0.48136786,0.5186321,A002160837SWJFPIAI7L7,0
89,0.6698536,0.3301463,A002160837SWJFPIAI7L7,0
90,0.42350608,0.5764939,A002160837SWJFPIAI7L7,0
91,0.48542354,0.5145764,A002160837SWJFPIAI7L7,0
92,0.65305424,0.34694585,A002160837SWJFPIAI7L7,0
93,0.36878583,0.6312142,A002160837SWJFPIAI7L7,0
94,0.505112,0.49488804,A002160837SWJFPIAI7L7,0
95,0.5875848,0.4124152,A002160837SWJFPIAI7L7,0
96,0.20714669,0.7928533,A002160837SWJFPIAI7L7,0
97,0.32271117,0.67728883,A002160837SWJFPIAI7L7,0
98,0.60982025,0.39017975,A002160837SWJFPIAI7L7,0
99,0.7815474,0.21845253,A002160837SWJFPIAI7L7,0
100,0.511716,0.488284,A002160837SWJFPIAI7L7,0
101,0.4643575,0.5356425,A002160837SWJFPIAI7L7,0
102,0.5462337,0.4537663,A002160837SWJFPIAI7L7,0
103,0.58756375,0.41243622,A002160837SWJFPIAI7L7,0
104,0.5375092,0.4624908,A002160837SWJFPIAI7L7,0
105,0.5972973,0.4027027,A002160837SWJFPIAI7L7,0
106,0.75833803,0.24166198,A002160837SWJFPIAI7L7,0
107,0.57085806,0.42914194,A002160837SWJFPIAI7L7,0
108,0.8398325,0.16016749,A002160837SWJFPIAI7L7,0
109,0.7269379,0.2730621,A002160837SWJFPIAI7L7,0
110,0.530959,0.46904102,A002160837SWJFPIAI7L7,0
111,0.61632234,0.3836777,A002160837SWJFPIAI7L7,0
112,0.5781104,0.4218896,A002160837SWJFPIAI7L7,0
113,0.5485026,0.45149738,A002160837SWJFPIAI7L7,0
114,0.4869604,0.5130396,A002160837SWJFPIAI7L7,0
115,0.8984094,0.10159058,A002160837SWJFPIAI7L7,0
116,0.599214,0.400786,A002160837SWJFPIAI7L7,0
117,0.5308984,0.4691016,A002160837SWJFPIAI7L7,0
118,0.6016385,0.39836147,A002160837SWJFPIAI7L7,0
119,0.38915107,0.6108489,A002160837SWJFPIAI7L7,0
120,0.38606647,0.61393356,A002160837SWJFPIAI7L7,0
121,0.8122,0.18780002,A002160837SWJFPIAI7L7,0
122,0.47794017,0.52205986,A002160837SWJFPIAI7L7,0
123,0.7373363,0.2626637,A002160837SWJFPIAI7L7,0
124,0.5034448,0.4965552,A002160837SWJFPIAI7L7,0
125,0.8478276,0.15217246,A002160837SWJFPIAI7L7,0
126,0.3312728,0.66872716,A002160837SWJFPIAI7L7,0
