,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,id,block
0,0.0038219835,0.1022037,0.9880082,0.9261346,-0.6518342,1.0251362,0.88953906,-0.37314287,0.26640576,0.2151653,-0.01960772,0.0034914312,-0.11498812,-0.08091385,-1.0502199,0.037196346,0.9602415,0.1423364,0.012313599,0.7606736,0.003808619,0.09365938,0.020787755,0.6941595,-0.5577136,0.5698099,0.09465365,-0.35579845,0.044240598,0.004396948,-0.019433195,0.00061326666,-0.00033701607,-0.07915413,-0.1649911,0.00081930024,0.035905495,0.065232545,0.012286989,0.63568544,S100,1
1,0.0063044024,0.14108187,0.99965495,0.9119493,-0.668778,1.7375042,1.4199502,-0.38703224,0.31578732,0.2709623,-0.045083873,0.0035233607,-0.096880734,-0.035080805,-1.8465261,-0.119427666,0.96567523,0.14946438,-0.013432032,1.6184148,0.0062723635,0.13229087,0.02593344,0.68475646,-0.5690114,0.7717313,0.11979524,-0.3679577,0.04784924,0.0054976474,-0.044657048,0.00058585283,-0.00041755365,-0.034330104,-0.13675418,-0.0022647884,0.037522238,0.07107774,-0.013395636,0.9161241,S100,1
2,-0.12861468,0.013645917,0.72247523,0.69547015,-0.17640075,1.353751,1.2956533,-0.36629498,0.21571583,0.15566856,-0.07071188,-0.22725998,-0.041032597,-0.098304905,-1.5913764,-0.18154542,0.8782349,0.2636922,0.16622777,1.1826404,-0.065939575,0.0086428905,0.32431445,0.29165643,-0.0957594,0.65909946,0.50233704,-0.18950163,0.106752664,0.094166055,-0.042774547,-0.09025016,-0.023027143,-0.046106808,-0.43437278,-0.10778844,0.36554015,0.14736187,0.0921558,0.42655066,S100,1
3,-0.0018427311,0.075529054,1.0006593,0.94369453,-0.61660385,2.045324,1.7383289,-0.3914462,0.37168884,0.20439966,-0.050925322,-0.0028248117,-0.023835506,-0.03093731,-2.3912733,-0.23656166,0.9849753,0.27004415,0.023233553,2.0366755,-0.0018369517,0.07040734,0.033120617,0.70395565,-0.53337514,0.75267553,0.22355042,-0.37195715,0.05968612,0.0055893767,-0.050296966,-0.00047490778,-6.107883e-05,-0.030401736,-0.1779788,-0.004595762,0.04752711,0.12540565,0.023172466,0.95859975,S100,1
4,0.006345537,0.11818989,0.9988578,0.912188,-0.64616597,2.6442864,2.2072394,-0.4031022,0.40515104,0.2611179,-0.046351165,0.0030934105,-0.01009854,-0.018006673,-3.1877787,-0.27178654,0.96843785,0.27680272,-0.010187471,2.8879383,0.0063127102,0.111235,0.02817812,0.6860659,-0.5532498,0.8302693,0.13843225,-0.3817771,0.055236667,0.0051834946,-0.045941215,0.0005175879,-4.4297987e-05,-0.017644798,-0.12879162,-0.005209719,0.04044155,0.13610733,-0.010159362,0.98505336,S100,1
5,0.007900374,0.16582581,0.99673575,0.85386425,-0.66067696,3.1991334,2.537416,-0.4096109,0.44683483,0.31000122,-0.038507402,0.0033375113,0.0011058254,-0.013905564,-3.9933114,-0.2742004,0.96497893,0.28437948,-0.017485179,3.7359774,0.007848129,0.15448162,0.0305781,0.6554785,-0.5607,0.82683176,0.12598345,-0.38725,0.06198607,0.0050630537,-0.03810708,0.00065833173,4.977894e-06,-0.013679735,-0.11406071,-0.00486254,0.041143127,0.13000281,-0.017430885,0.9913206,S100,1
6,-0.096593216,0.08917189,0.9041464,0.5594391,-0.40489513,2.0171928,2.2148733,-0.4966016,0.51079106,0.2980414,0.07713592,-0.01734768,-0.08622495,-0.20000614,-3.250089,-0.022398263,1.0523828,0.367315,0.19450463,2.999859,-0.058378983,0.05423849,0.44292226,0.2623665,-0.22325444,0.74587524,0.74938756,-0.2873341,0.2618544,0.20016678,0.038134146,-0.0075095375,-0.041888062,-0.10627785,-0.5068597,-0.014199635,0.48257747,0.18663089,0.11075458,0.5611094,S100,1
7,-0.2583495,0.122935966,0.6391384,0.66708183,-0.013292596,1.5095888,1.9596848,-0.5151253,0.35639623,0.141002,0.04771587,-0.24929631,-0.04336667,-0.23371744,-2.5645006,0.016443737,0.97088224,0.47140944,0.24904352,2.404092,-0.14722751,0.07183507,0.30442157,0.26639688,-0.006988365,0.6331728,0.6048893,-0.25313094,0.16645938,0.08882915,0.030090846,-0.10351234,-0.020636557,-0.11524191,-0.50982934,0.010040108,0.3880847,0.2623524,0.15199007,0.5357444,S100,1
8,-0.24401599,0.23034891,0.60565925,0.6712705,0.08880171,1.2932258,1.4024855,-0.5036455,0.43635976,0.079191774,-0.008652449,-0.3063521,-0.10578416,-0.41220632,-2.000777,0.09127709,0.94757074,0.46036768,0.2643611,1.7957171,-0.13618417,0.12775266,0.33457333,0.27322042,0.045989785,0.59601796,0.60779834,-0.2931978,0.19633523,0.052367568,-0.004869449,-0.1382854,-0.050194126,-0.22405787,-0.5193095,0.054305367,0.46173897,0.25979736,0.1531534,0.5752405,S100,1
9,-0.007616964,0.29080683,0.9982551,0.94227755,-0.58220005,1.9976077,1.8075998,-0.52768487,0.5232413,0.13226514,-0.053808127,-0.0046434123,-0.08681342,-0.108674146,-2.7903934,-0.07030997,0.98516315,0.46590993,0.050400965,2.6628544,-0.007596571,0.26306343,0.034725934,0.70381504,-0.50851434,0.7501743,0.22926407,-0.48278475,0.07175631,0.0036276444,-0.05321303,-0.00080894,-0.00022130545,-0.106313236,-0.18431242,-0.0015527823,0.048168764,0.20656063,0.05023705,0.98177344,S100,1
