,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,id,block
0,0.6559344,-0.40972006,0.85435104,-0.79005295,0.14731807,-1.6116526,-1.0542457,1.2369711,0.57246125,0.415985,-1.3944645,1.9813266,-0.10625808,0.9590821,-0.9661533,1.9592297,-0.8189574,-1.9948967,-0.24502021,0.9255176,0.5756477,-0.005578529,0.62179005,-0.6584108,0.039322197,-0.04612623,-0.7441425,0.6747204,0.032582056,0.38162267,-0.45204577,0.38761532,-0.10125678,0.59485114,-0.74683595,0.8314275,-0.39653352,-0.6314149,-0.23125361,0.2951638,S100,0
1,-0.11266942,-1.2223295,1.1658208,-1.1552787,0.10938449,-2.341715,-2.0425463,0.925988,0.71771973,-0.102545545,-1.4481378,2.973621,0.008811201,0.5694306,-1.5627065,2.9382143,-0.963992,-2.974822,-0.12662053,1.6373055,-0.11219505,-0.0004102221,0.41485193,-0.81948614,0.005749556,-0.004060584,-0.7406637,0.087656446,0.015769832,-0.10036229,-0.89328265,0.5120646,0.006478416,0.50038385,-0.91267383,0.5943628,-0.7292105,-0.7040543,-0.1257529,0.8571601,S100,0
2,-0.5210127,-1.1832325,1.2822356,-1.1794542,0.05746044,-2.7573652,-3.016444,1.0206491,0.27347535,-0.37006387,-0.24577755,3.9388459,-0.0016741282,0.101985365,-1.9105892,3.8422735,-0.80022544,-3.8774207,-0.052792795,2.3411546,-0.47848076,-0.0015953374,0.5403517,-0.826019,0.04508468,-0.0058879075,-0.85055053,0.17255524,0.043736488,-0.31524143,-0.23618683,0.81758064,-0.00039831153,0.09007181,-0.91194755,0.88868546,-0.6206488,-0.9165401,-0.052432258,0.7412326,S100,0
3,0.64579296,-1.0740192,1.8419997,0.2984019,0.7191829,-3.5131743,-3.9982705,0.09197992,0.19027516,-0.33711335,0.6116105,4.9268103,-0.2782259,-0.16867784,-1.7141378,4.808802,-0.94726324,-2.1160672,-0.048817623,1.8418037,0.56883097,-0.1006884,0.9366795,0.2897875,0.5878673,-0.2068482,-0.3245805,0.07760243,0.05240784,-0.31050843,0.5452531,0.51139313,-0.023486482,-0.16507596,-0.9370869,0.776237,-0.738383,-0.064905725,-0.04273824,0.93811005,S100,0
4,-0.41482055,-0.6504681,1.821115,-0.92152154,0.18651369,-4.45532,-4.9638004,1.0209534,0.1013157,-0.51056284,1.0932477,5.9146843,0.23084532,-1.0358771,-2.3686335,5.7503004,-1.1389811,-3.062291,-0.47239563,2.5936418,-0.39255804,-0.030130781,0.76688063,-0.72659504,0.08990651,-0.05691837,-0.3991895,0.74861,0.0012581995,-0.4644902,0.7955771,0.8759647,0.22630519,-0.46218795,-0.9762347,0.6817688,-0.8116389,-0.19577257,-0.4397047,0.7497626,S100,0
5,-0.76740605,-0.40971592,1.662442,-1.0215788,0.08490181,-5.19044,-5.876022,1.2399682,0.09679779,-0.6692531,1.3775789,6.821953,-0.0038801045,-1.5931952,-2.4063456,6.6172986,-1.0507042,-3.1446345,0.31992057,2.107336,-0.6454186,-0.042009477,0.7892862,-0.7699127,0.07632094,-0.09561466,-0.72213453,0.82206804,0.0045700725,-0.53844035,0.87947255,0.6628239,-0.0038350292,-0.53798974,-0.88185114,0.79586697,-0.78190005,-0.37044224,0.3093421,0.9465254,S100,0
6,0.7913573,0.631052,0.6533585,0.33589137,0.92049307,-6.0340843,-6.56147,0.5211267,0.087066494,-0.17366198,0.6621021,7.760438,-0.39932173,-2.3372889,-2.0584307,7.486232,-1.3864244,-1.0815604,0.2205131,1.1124344,0.6591772,0.5538196,0.5737782,0.25421786,0.7215894,-0.61755896,-0.10418867,0.4771082,0.017377228,-0.122070685,0.57976055,0.06677849,-0.14296265,-0.9439334,-0.9661823,0.43402004,-0.88237643,-0.008262555,0.14892253,0.79550034,S100,0
7,-0.7438757,-0.43153208,0.5995284,-0.20873716,0.7696932,-6.9425063,-7.4593644,1.2633588,-0.35577446,-0.29375887,1.157063,8.716755,0.5332081,-3.2164915,-2.6628966,8.336343,-0.83607376,-2.0710309,0.065706074,0.6795933,-0.63147837,-0.06533063,0.39711007,-0.205686,0.521875,-0.052649967,-0.2770414,0.8447688,-0.009650532,-0.27561384,0.8183599,0.8655383,0.48563734,-0.40298364,-0.32605678,0.63795525,-0.68365383,-0.35554183,0.06529917,0.5201601,S100,0
8,-0.5633133,0.03153643,0.058669448,0.80349815,1.0631665,-7.880713,-8.170224,1.3087409,-0.7453972,0.262335,0.15495825,9.640305,-0.095419616,-3.9046335,-2.2691193,9.097092,0.80075485,-2.7198803,0.11873905,-0.55487305,-0.51043165,0.031391826,0.057926,0.4269781,0.78423476,-0.8038885,-0.83159816,0.86343086,-0.24036112,0.251929,0.15369305,0.7671838,-0.09476524,-0.12343403,-0.9452366,0.36418304,0.6644584,-0.01267231,0.11622146,-0.50207025,S100,0
9,0.8592689,-0.97115105,0.0541617,0.66121966,1.3358707,-8.749984,-9.084078,-0.12841196,-0.7285147,0.078216255,-0.51545733,10.572228,-0.9886668,-3.5916746,-1.6733373,9.998632,-0.8374047,-3.176436,-0.44226652,-0.4226545,0.6958808,-0.030963862,0.052792355,0.57917136,0.09673936,-0.7174526,-0.022350043,-0.12611063,-0.25537875,0.07554312,-0.47417355,0.050715595,-0.74282813,-0.97396654,-0.93165535,0.03984335,-0.68443066,-0.47019714,-0.29930922,-0.3982266,S100,0
10,0.6867517,0.0059799906,0.47726667,1.3621336,2.1363845,-9.645277,-9.841911,0.6483726,-0.69679534,0.8076338,-0.4478331,11.518301,0.026998596,-3.9362476,-1.2083819,10.861779,-1.329499,-4.1610093,-0.47487754,0.21993572,0.59588784,0.0007800577,0.44270724,0.792375,0.710829,-0.011631787,-0.1327953,0.5658199,-0.3376702,0.6650172,-0.32325315,0.06578863,0.025674654,-0.8202151,-0.800285,0.24824062,-0.86912686,-0.4430765,-0.40093368,0.12409935,S100,0
11,-0.20294723,0.6765314,-0.5598849,2.2431498,3.0543191,-10.609311,-10.670854,1.1399198,-0.80836475,1.0933365,0.31424248,12.493135,-0.22273992,-4.6756887,-1.9405699,11.713813,-0.7066806,-5.1599417,-0.47286022,0.8156723,-0.20020603,0.55760354,-0.4979587,0.08223856,0.33406138,-0.033748507,-0.7055348,0.8143584,-0.0069290358,0.7925983,0.30207822,0.6658986,-0.21858564,-0.098441795,-0.83543473,0.30109215,-0.6085909,-0.18513054,-0.43058643,0.42613247,S100,0
12,0.9114566,-0.60021853,-0.5342444,0.98430485,3.814375,-11.227042,-11.597016,0.11039577,-0.8314827,1.1957285,-0.45286313,13.382979,-0.81065655,-5.20105,-1.6199459,12.628067,-0.97392774,-5.1790276,-0.501164,0.5465058,0.72183055,-0.032332797,-0.4865484,0.7549014,0.13227709,-0.6650911,-0.038403183,0.10796601,-0.07483416,0.5300696,-0.4242203,0.08504495,-0.54831046,-0.9383723,-0.88379055,0.02228868,-0.75041115,-0.092691354,-0.43883157,0.49741176,S100,0
13,0.65008277,-0.09465768,-0.085038364,1.3908309,4.7245884,-12.110153,-12.204093,0.51864314,-0.89833313,1.1303828,-0.3057898,14.293433,-0.012093963,-5.971015,-1.3098012,13.454698,-1.2485747,-6.1685343,-0.5215495,0.8779652,0.57170796,-0.024288043,-0.08473142,0.73720706,0.42532796,-0.028219104,-0.05291137,0.47560218,-0.15204774,0.7688369,-0.28170332,0.08957797,-0.011882833,-0.5420832,-0.2735603,0.07469493,-0.84788334,-0.40165305,-0.4660119,0.4236953,S100,0
14,-0.67687476,0.241689,-0.2617908,2.002113,5.6696033,-12.965875,-13.016148,0.99878794,-1.0935161,1.1933484,0.48556072,15.208592,-0.23163733,-6.365473,-1.9944601,14.211214,-0.01332891,-7.1666427,-0.48966113,1.4298147,-0.58948356,0.16825902,-0.23924279,0.48406503,0.16442165,-0.034092218,-0.8228835,0.7606224,-0.005188459,0.7955602,0.41759187,0.8310517,-0.22628985,-0.06957507,-0.45026124,0.50288314,-0.013328088,-0.3184673,-0.45011023,0.534888,S100,0
15,-0.89360905,0.34767058,-0.6125336,1.740551,5.580702,-13.753991,-13.738418,-0.0031614602,-1.1033994,1.8279085,1.0165591,16.038193,-1.0722787,-5.6750507,-1.7252332,14.861544,0.18662007,-6.743437,-0.2470801,0.38551348,-0.71317166,0.2454247,-0.54203534,0.8673249,0.21421488,-0.9091716,-0.12685674,-0.0031541053,-0.035987195,0.6056045,0.7684184,0.44289795,-0.770006,-0.40569654,-0.6380369,0.079370916,0.18448329,-0.27797765,-0.20698123,0.36319512,S100,0
16,0.5797608,-0.4375083,-0.6007456,-0.95601773,5.6601696,-14.40948,-14.480492,-0.008446794,-1.1202006,1.7454114,0.2832067,16.784325,-1.898772,-4.754998,-1.0372666,15.621452,-0.8267092,-5.937023,-1.1370344,-0.15205559,0.5224915,-0.010529398,-0.532827,-0.74249494,0.31645596,-0.80365175,-0.005232513,-0.00820024,-0.36014116,0.72287005,0.25956044,0.30624127,-0.93667436,-0.7093547,-0.7411101,0.12379059,-0.6787047,-0.17298758,-0.4411533,-0.15043718,S100,0
