,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,id,block
0,-1.1061331,-0.11601424,0.11998235,0.3680703,-0.26025543,0.21207261,-0.061993223,0.69944215,0.52285594,0.066397354,-0.6886365,-0.26666978,-0.77511966,1.057245,-0.5914912,-0.88846886,0.8518505,-0.10509686,-0.9471816,-0.025398608,-0.45234907,-0.073873036,0.019414755,0.29372197,-0.21029814,0.17753448,-0.04026073,0.51879036,0.070801325,0.02453285,-0.53273594,-0.04652207,-0.12154954,0.56511635,-0.33433792,-0.21993789,0.39244494,-0.038853593,-0.4728249,-0.013384777,S226,0
1,-1.5797923,-0.11856497,0.11500097,0.43927407,-0.26893848,0.25360495,-0.21762973,1.0778381,0.7099949,0.07927939,-0.8398049,-0.24483292,-1.0581372,1.3464763,-0.64859164,-0.91812384,1.1043533,-0.02193933,-1.1467128,-0.046515614,-0.5230756,-0.07294833,0.021306831,0.31731194,-0.20755075,0.20553392,-0.1190451,0.6760249,0.05979556,0.023575496,-0.61933726,-0.039112464,-0.18340397,0.6108316,-0.34633768,-0.15154265,0.44239873,-0.008855922,-0.50739044,-0.030542566,S226,0
2,-1.9458238,-0.11170513,0.11199349,0.5007936,-0.22030824,0.25303778,-0.14458638,1.2965105,0.76786137,0.08975563,-1.1608684,-0.3053991,-1.3045268,1.5652268,-0.7774288,-1.127627,1.343646,-0.0034685489,-1.3041395,-0.051123045,-0.55737776,-0.07032197,0.019574799,0.3783414,-0.17120169,0.20743172,-0.083397135,0.7316776,0.06311602,0.034750775,-0.7361235,-0.05728054,-0.18534243,0.6764026,-0.413307,-0.20513918,0.48591107,-0.0013761974,-0.57220715,-0.03023778,S226,0
3,-2.307324,-0.026690304,0.14845344,0.61823916,-0.3255359,0.2666769,-0.08535616,1.5249468,0.85632974,0.08771876,-1.4275517,-0.29025385,-1.2347316,1.7497871,-0.7642838,-1.1506407,1.5168474,-0.039148577,-1.2700886,-0.0570357,-0.58228606,-0.016472036,0.030561995,0.4227303,-0.24056843,0.21608107,-0.050988857,0.699108,0.09924924,0.033527788,-0.78144586,-0.06499627,-0.20789641,0.6201565,-0.4141443,-0.26769006,0.5196806,-0.016886258,-0.54513204,-0.02768343,S226,0
4,-2.4883509,-0.009777666,0.13745826,0.6437434,-0.24155496,0.2829365,-0.08435822,1.6436458,0.84491515,0.107009664,-1.6279492,-0.30536562,-1.2971497,1.7998934,-0.79815227,-1.1759958,1.6517862,-0.008038666,-1.309233,-0.059412133,-0.5825962,-0.0059232893,0.02896607,0.43042114,-0.17447795,0.22161807,-0.0460524,0.73476017,0.07843319,0.040531922,-0.8055684,-0.068788745,-0.2341402,0.67181563,-0.42190078,-0.23014706,0.5095511,-0.0034502463,-0.5639586,-0.03406324,S226,0
5,-2.8060093,0.04761654,0.13957797,0.70354366,-0.3308247,0.25763878,-0.06502026,1.8305423,0.9140488,0.07451734,-1.9027863,-0.2763526,-1.335878,2.0028796,-0.8201265,-1.2375511,1.7525203,-0.040582515,-1.295076,-0.06581384,-0.59647137,0.030022375,0.024478298,0.4941099,-0.25754136,0.21748006,-0.03967154,0.7775772,0.082586735,0.027106369,-0.8619153,-0.053255845,-0.1720088,0.67543393,-0.45139688,-0.25782627,0.5492394,-0.01619124,-0.56114537,-0.03251071,S226,0
6,-3.0679767,-0.04015291,0.16592503,0.752911,-0.40994078,0.30514675,0.009557854,1.9860868,0.8491526,0.07115646,-2.111816,-0.2433842,-1.0175601,2.04826,-0.9345416,-1.2249587,1.9572622,-0.1509975,-1.1858765,-0.048884336,-0.59793264,-0.017357947,0.03251631,0.513189,-0.32868662,0.2667603,0.005519068,0.7848955,0.101824425,0.034477893,-0.86227965,-0.048852053,-0.12752165,0.70803654,-0.47379428,-0.27724355,0.5775639,-0.06260524,-0.44324702,-0.023400148,S226,0
7,-3.255298,-0.08425271,0.1731645,0.8103368,-0.37148857,0.30829108,0.07394119,2.0446563,0.7790979,0.07973496,-2.3611472,-0.26830435,-0.8356497,2.0344532,-1.0419376,-1.3462683,2.1714067,-0.21373062,-1.1907231,-0.023822078,-0.6045758,-0.040013,0.033509877,0.5460484,-0.29016066,0.26418588,0.044732142,0.76833516,0.10354393,0.04157323,-0.8579125,-0.06220817,-0.13027303,0.7240982,-0.5204984,-0.33530825,0.5720182,-0.089762986,-0.49073607,-0.010220105,S226,0
8,-3.4570246,-0.09417851,0.16106948,0.840836,-0.36832672,0.2856704,0.06993283,2.1252234,0.8007134,0.07045325,-2.5934901,-0.25972462,-0.7952535,2.1227055,-1.0886712,-1.4065322,2.2965522,-0.22573943,-1.2402873,-0.016940063,-0.60140365,-0.050128717,0.028323324,0.5669984,-0.2913429,0.24663618,0.042995203,0.795011,0.08593562,0.03214996,-0.8841843,-0.053012565,-0.12135373,0.72899026,-0.5414598,-0.3100243,0.5781055,-0.090725005,-0.5192792,-0.007696312,S226,0
9,-3.4453096,-0.18549308,0.16247696,0.78292,-0.26839894,0.34002686,0.029899996,2.1980922,0.7570883,0.0909424,-2.6184723,-0.24152118,-0.7175169,2.0404549,-1.1175884,-1.2603259,2.3590572,-0.23788431,-1.1866777,-0.0066682403,-0.5873426,-0.084101655,0.035494383,0.4970416,-0.20816314,0.28143454,0.015720975,0.7891178,0.07530945,0.03919362,-0.8706503,-0.04874271,-0.13789944,0.71822345,-0.50912774,-0.22965762,0.5571846,-0.102781035,-0.46192324,-0.00391356,S226,0
