sid,pre accu,post accu,,
,,,,
S226,,[0.51572327],,0.51572327
,,,,
S227,,[0.74213836],,0.74213836
,,,,
S228,,[0.69375],,0.69375
,,,,
S229,,[0.63291139],,0.63291139
,,,,
S230,,[0.7875],,0.7875
,,,,
S231,,[0.75],,0.75
,,,,
S232,,[0.57861635],,0.57861635
,,,,
S233,,[0.51898734],,0.51898734
,,,,
S234,,[0.65625],,0.65625
,,,,
S235,,[0.625],,0.625
,,,,
S236,,[0.57324841],,0.57324841
,,,,
S237,,[0.64375],,0.64375
,,,,
S238,,[0.8125],,0.8125
,,,,
S239,,[0.5125],,0.5125
,,,,
S240,,[0.64375],,0.64375
,,,,
S241,,[0.8],,0.8
,,,,
S242,,[0.67295597],,0.67295597
,,,,
S243,,[0.63924051],,0.63924051
,,,,
S244,,[0.6625],,0.6625
,,,,
S245,,[0.74375],,0.74375
,,,,
S246,,[0.81875],,0.81875
,,,,
S247,,[0.59493671],,0.59493671
,,,,
S248,,[0.8],,0.8
,,,,
S249,,[0.8],,0.8
,,,,
S250,,[0.65605096],,0.65605096
,,,,
S251,,[0.68553459],,0.68553459
,,,,
S252,,[0.52531646],,0.52531646
,,,,
S253,,[0.65189873],,0.65189873
,,,,
S254,,[0.6918239],,0.6918239
,,,,
S255,,[0.55882353],,0.55882353
,,,,
S256,,[0.55625],,0.55625
,,,,
S257,,[0.64375],,0.64375
,,,,
,,,,0.662131453
