sid,pre accu,post accu
A25LHXY3SAOVBV,,[0.49375]
A26YJJHOW9HXUY,,[0.575]
A26Z8M2VSEWUU4,,[0.60625]
A27ZW1CY6TMKT8,,[0.64375]
A288RSAGJBLY9,,[0.51875]
A2AWSN5CWONM8,,[0.62420382]
A2BLQ1GVEHJR8T,,[0.4875]
A2CJNNTLFULCTH,,[0.55128205]
A2CWA5VQZ6IWMQ,,[0.525]
A2DOMBSKO75VV7,,[0.525]
A2DU0TGJDZWUCV,,[0.575]
A2E72ZI1VESTMR,,[0.5408805]
A2E7S35ZI3WBET,,[0.56687898]
A2FN0MPGK61HW,,[0.58333333]
A2FUQER3KRIXYJ,,[0.53797468]
A2G53Y36QD1ZGV,,[0.6375]
A2GL2Y13IGLHLK,,[0.51572327]
A2GVON0W6E874S,,[0.54375]
A2H0A9JR2ZDR24,,[0.50632911]
A2H6Q22X1V1FTX,,[0.525]
A2HJDLSU95MH8Q,,[0.63125]
A2I14UHUQIH4L0,,[0.52830189]
A2I43BDUPAM00C,,[0.51875]
A2INUUEUK5K065,,[0.6]
A2J43FWL1Z0FV1,,[0.54375]
A2JD1QZEPKPD6L,,[0.55769231]
A2JJ46H36C4R9,,[0.50625]
A2JJAEQ8LHRWNV,,[0.45]
A2JMIAOV67CPHI,,[0.55625]
A2K6QV9HRJ4V7B,,[0.53125]
A2KW17G25L25R8,,[0.58490566]
A2LJTCHPRZLGS7,,[0.45625]
A2M9JNCHRKMCC4,,[0.49375]
A2MF0OZ7Q0J4UP,,[0.5125]
A2NMLTECRDWFN2,,[0.50318471]
A2OLQUU01EOJLH,,[0.46202532]
A2P22X4GQWQ8Z1,,[0.44654088]
A2P5UFOTXOR08T,,[0.61006289]
A2P8V5SKYLL5I4,,[0.54716981]
A2QIX7DNN0DZY6,,[0.50625]
A2R1011DR8EXHQ,,[0.49342105]
A2S6QOCFC3EAYH,,[0.53164557]
A2SLEMDA17XTZ1,,[0.53503185]
A2TV18A7NQF6I5,,[0.44375]
A2V3P1XE33NYC3,,[0.48125]
A2VGFS03KCCR1Q,,[0.425]
A2VO8C41JJIQY9,,[0.60625]
A2VPCWI6X1QCDF,,[0.53125]
A2WSSRWT4ZBHK3,,[0.52531646]
A2WTNZHRALOHX8,,[0.45625]
A2YCDNVHMPVFG6,,[0.51875]
A2YZVS6MBFQQPQ,,[0.59375]
A2Z75NJBZ46RE9,,[0.41772152]
A2ZDJLY20J6678,,[0.475]
A2ZIO0ZTIXOE9J,,[0.5443038]
A2ZZ7GUR0MNWDC,,[0.5375]
A302KOFOYLD89A,,[0.625]
A30GCTXJ17JC3I,,[0.5408805]
A30H28F41UBJGK,,[0.50625]
A30VLIFQPJZ17P,,[0.55974843]
A30Z3CWKO1B6R7,,[0.51875]
A318574M8Q965P,,[0.42038217]
A327V746DXH6ID,,[0.5375]
A32LHQYJY0ELFS,,[0.57232704]
A32W24TWSWXW,,[0.54375]
A34051YREUMGHU,,[0.51572327]
A342YLIMT6THWO,,[0.5875]
A348UZASXTNGWR,,[0.54375]
A34DYM8J0X5VK,,[0.4875]
A34VID9K8BKKSH,,[0.55345912]
A362RXUHDXF7EA,,[0.49056604]
A363NKR14886XG,,[0.5875]
A36EDYMS6VYHW1,,[0.50625]
A36PRTZFECB76C,,[0.52830189]
A371H3PQPR2Z8J,,[0.58860759]
A377LTGWJKY2IW,,[0.6625]
A37DKV7XQI7N5J,,[0.5375]
A37XA1JSSYORAZ,,[0.5375]
A38RHRTIP0PYNU,,[0.46875]
A39J8MSTUDVH0D,,[0.53459119]
A39K7LI5BVW4K8,,[0.5]
A3APMO8WXVH1V0,,[0.56875]
A3B6CJ8OHWI4AU,,[0.475]
A3BBR5O4W6XHBV,,[0.4591195]
A3C2DKCZLI304P,,[0.43307087]
A3CDWPBKYDDASL,,[0.52830189]
A3CGQOJC28OVGN,,[0.55063291]
A3CWEN6Y21V7TL,,[0.5443038]
A3FH7YRKBEQ2LU,,[0.6875]
A3FJ3XMXO8UAJ0,,[0.41509434]
A3G5IPGLH1IIZN,,[0.5]
A3GHYD28ZZ3IEN,,[0.46875]
A3GMRPF5MCQVGV,,[0.5375]
A3GP8FXH7J96UK,,[0.54716981]
A3GRGGYSMH5PNI,,[0.50625]
A3GWRDHAURRNK6,,[0.4875]
A3HGCI4HL815H,,[0.56875]
A3JAU7FJ0JJ1IU,,[0.65]
A3JDCVM1OXXOFG,,[0.58860759]
A3JPWEQUCQNQDB,,[0.55696203]
A3KLR6YNRYKYJ3,,[0.61875]
A3KWYUV3VSNIZA,,[0.40880503]
A3LI98SL8OEDC0,,[0.43870968]
A3M1FJQLYPR8X8,,[0.46875]
A3MELYYGRJ61SX,,[0.5875]
A3MTNLK7KQ89WE,,[0.5125]
A3PFU4042GIQLE,,[0.59354839]
A3PJLANVHZPRVO,,[0.65]
A3PQVDFT21IISU,,[0.45]
A3PTOOTI7ESD5W,,[0.48125]
A3QIG18VHBXBSZ,,[0.54716981]
A3R1X7QCXV61JJ,,[0.56774194]
A3R5P4URN7QKU8,,[0.46875]
A3SRVRFTL8413I,,[0.55625]
A3SSR32EZYJ8QD,,[0.575]
A3TD3PWJ8BU2H1,,[0.40972222]
A3UZW1NTOX6I15,,[0.49681529]
A3VO1VCYS30YGW,,[0.4556962]
A3VYUJ2USDULKC,,[0.62337662]
A3W4MAKNDI1SXM,,[0.61875]
A5BCSSPC180AG,,[0.5625]
A6AU0NC2XUGW,,[0.49685535]
A6QR4K322HT3T,,[0.58490566]
A8E99XNOTT390,,[0.43125]
A8UNVAKQHADKT,,[0.59493671]
A8X1YI90JPSGP,,[0.525]
A98E8M4QLI9RS,,[0.56875]
AB3L4DBGHX7PG,,[0.46835443]
AB8BRFF4ZTZ40,,[0.65625]
ABF5ENVB19SC4,,[0.45283019]
ABR849Y69MDQI,,[0.5375]
ACM7GDJASVO93,,[0.5974026]
ACOUEGRDJO7B6,,[0.575]
AD3TJJF3AW5SO,,[0.6875]
ADL6HFLKUSQOZ,,[0.5974026]
AEXA1CPBHT85H,,[0.5408805]
AFERIASET17LW,,[0.4625]
AFXQR60UTDKIY,,[0.5408805]
AGHKGWDYPVDFE,,[0.525]
AGPTT5Z7VEBW0,,[0.6375]
AIGUTKZMZ9LNR,,[0.64779874]
AIS4X2NYY3V1T,,[0.575]
AIZUOHKQT14OM,,[0.51572327]
AJNQ2PBD07FKE,,[0.5375]
AJQGWGESKQT4Y,,[0.56329114]
AJTPDPN27UCUS,,[0.55625]
AK5LNLWKVISPI,,[0.50625]
AKJAMVEVMQPHS,,[0.525]
ALQEVX2DSDWEQ,,[0.58125]
AM0R6CV53UZ2C,,[0.4591195]
AM1EIZHV3K7F2,,[0.5443038]
AMHVH9MFHO5DE,,[0.72611465]
ANV3ZKKIO6IF6,,[0.48051948]
AP6WTJVPDJQPK,,[0.60625]
APW4V8CE0TX6O,,[0.6375]
APXFQMO4UO5XQ,,[0.61875]
AQ9CUPOYWCR7F,,[0.45]
AQXRHIMQ7UK7O,,[0.475]
AR5QVMHIITZSZ,,[0.45625]
ARI1EMAHUA9PO,,[0.49685535]
ARJUW4XQOJNJR,,[0.44936709]
AS1KP4SMNONQC,,[0.48125]
AS7HQZRGQ8CDO,,[0.4875]
ASE79VYZNLPVD,,[0.64375]
AT8DDSZUBOC80,,[0.55]
AU3AMYVBJ9DQ2,,[0.52201258]
AU954O2L5LLGJ,,[0.6625]
AUYGA5NAC1IO6,,[0.5875]
AV7OKGJ2PJO30,,[0.56962025]
AVIPOL2XSM41P,,[0.54375]
AVJ7MQZ6AQF5M,,[0.56875]
AVMRJOB0ZA7PB,,[0.58598726]
AWB4J1GY0YL1J,,[0.46540881]
AWKUOA7M4P8YI,,[0.60759494]
AWMJZ6KVK2BBP,,[0.6875]
AYN0TD4NTSBI3,,[0.5875]
AYTH0E5PUXWX8,,[0.52830189]
AZ330Q7B1O9R6,,[0.45625]
AZ8KL6F16ZS7G,,[0.48427673]
