sid,pre accu,post accu
A371H3PQPR2Z8J,,[0.43037975]
A377LTGWJKY2IW,,[0.5875]
A37DKV7XQI7N5J,,[0.51875]
A37XA1JSSYORAZ,,[0.525]
A38RHRTIP0PYNU,,[0.58125]
A39J8MSTUDVH0D,,[0.47798742]
A39K7LI5BVW4K8,,[0.55625]
A3APMO8WXVH1V0,,[0.43125]
A3B6CJ8OHWI4AU,,[0.475]
A3BBR5O4W6XHBV,,[0.52830189]
A3C2DKCZLI304P,,[0.65354331]
A3CDWPBKYDDASL,,[0.50943396]
A3CGQOJC28OVGN,,[0.46202532]
A3CWEN6Y21V7TL,,[0.51265823]
A3FH7YRKBEQ2LU,,[0.50625]
A3FJ3XMXO8UAJ0,,[0.53459119]
A3G5IPGLH1IIZN,,[0.48125]
A3GHYD28ZZ3IEN,,[0.5125]
A3GMRPF5MCQVGV,,[0.51875]
A3GP8FXH7J96UK,,[0.4591195]
A3GRGGYSMH5PNI,,[0.40625]
A3GWRDHAURRNK6,,[0.525]
A3HGCI4HL815H,,[0.5125]
A3JAU7FJ0JJ1IU,,[0.46875]
A3JDCVM1OXXOFG,,[0.49367089]
A3JPWEQUCQNQDB,,[0.43037975]
A3KLR6YNRYKYJ3,,[0.4875]
A3KWYUV3VSNIZA,,[0.64779874]
A3LI98SL8OEDC0,,[0.60645161]
A3M1FJQLYPR8X8,,[0.49375]
A3MELYYGRJ61SX,,[0.5375]
A3MTNLK7KQ89WE,,[0.45]
A3PFU4042GIQLE,,[0.48387097]
A3PJLANVHZPRVO,,[0.41875]
A3PQVDFT21IISU,,[0.51875]
A3PTOOTI7ESD5W,,[0.475]
A3QIG18VHBXBSZ,,[0.49685535]
A3R1X7QCXV61JJ,,[0.44516129]
A3R5P4URN7QKU8,,[0.60625]
A3SRVRFTL8413I,,[0.5]
A3SSR32EZYJ8QD,,[0.475]
A3TD3PWJ8BU2H1,,[0.54861111]
A3UZW1NTOX6I15,,[0.52229299]
A3VO1VCYS30YGW,,[0.48101266]
A3VYUJ2USDULKC,,[0.42207792]
A3W4MAKNDI1SXM,,[0.4875]
A5BCSSPC180AG,,[0.45]
A6AU0NC2XUGW,,[0.45283019]
A6QR4K322HT3T,,[0.54716981]
A8E99XNOTT390,,[0.5375]
A8UNVAKQHADKT,,[0.5]
A8X1YI90JPSGP,,[0.425]
A98E8M4QLI9RS,,[0.41875]
AB3L4DBGHX7PG,,[0.46202532]
AB8BRFF4ZTZ40,,[0.5625]
ABF5ENVB19SC4,,[0.51572327]
ABR849Y69MDQI,,[0.45625]
ACM7GDJASVO93,,[0.46753247]
ACOUEGRDJO7B6,,[0.39375]
AD3TJJF3AW5SO,,[0.525]
ADL6HFLKUSQOZ,,[0.3961039]
AEXA1CPBHT85H,,[0.49056604]
AFERIASET17LW,,[0.46875]
AFXQR60UTDKIY,,[0.49056604]
AGHKGWDYPVDFE,,[0.525]
