,0,1,id,block
0,0.42500094,0.5749991,S100,1
1,0.47041658,0.52958345,S100,1
2,0.34288555,0.65711445,S100,1
3,0.26148164,0.73851836,S100,1
4,0.22740361,0.77259636,S100,1
5,0.16938433,0.8306157,S100,1
6,0.09932502,0.900675,S100,1
7,0.054548472,0.94545156,S100,1
8,0.026937691,0.97306234,S100,1
9,0.06353707,0.9364629,S100,1
10,0.052849334,0.9471506,S100,1
11,0.03296542,0.9670346,S100,1
12,0.02415066,0.9758494,S100,1
13,0.052368682,0.94763136,S100,1
14,0.03953094,0.96046907,S100,1
15,0.015003426,0.98499656,S100,1
16,0.04906737,0.95093256,S100,1
17,0.053026985,0.946973,S100,1
18,0.17114794,0.82885206,S100,1
19,0.18716428,0.81283575,S100,1
20,0.33223915,0.66776085,S100,1
21,0.22899295,0.771007,S100,1
22,0.27281117,0.7271889,S100,1
23,0.5914356,0.40856442,S100,1
24,0.405903,0.594097,S100,1
25,0.18810488,0.8118951,S100,1
26,0.18571965,0.8142804,S100,1
27,0.08431588,0.91568416,S100,1
28,0.050867006,0.949133,S100,1
29,0.09710775,0.9028923,S100,1
30,0.016085532,0.9839145,S100,1
31,0.110246345,0.88975364,S100,1
32,0.18643378,0.8135662,S100,1
33,0.3161243,0.6838757,S100,1
34,0.54967254,0.45032746,S100,1
35,0.6838819,0.31611812,S100,1
36,0.7367254,0.26327458,S100,1
37,0.8068532,0.19314682,S100,1
38,0.82577294,0.17422704,S100,1
39,0.8527476,0.14725238,S100,1
40,0.8663075,0.13369255,S100,1
41,0.77409583,0.22590418,S100,1
42,0.7820497,0.21795028,S100,1
43,0.73656815,0.2634319,S100,1
44,0.7245024,0.27549762,S100,1
45,0.68547213,0.31452787,S100,1
46,0.6108867,0.3891133,S100,1
47,0.5808996,0.41910046,S100,1
0,0.42500094,0.5749991,S100,2
1,0.39055702,0.60944295,S100,2
2,0.31244746,0.6875526,S100,2
3,0.2218007,0.7781993,S100,2
4,0.19845064,0.8015493,S100,2
5,0.17394996,0.8260501,S100,2
6,0.1022534,0.8977466,S100,2
7,0.06566022,0.93433976,S100,2
8,0.011486017,0.988514,S100,2
9,0.061255544,0.9387444,S100,2
10,0.047345027,0.95265496,S100,2
11,0.0074410085,0.99255896,S100,2
12,0.029774291,0.9702257,S100,2
13,0.023972029,0.97602797,S100,2
14,0.003693406,0.99630666,S100,2
15,0.014855406,0.9851446,S100,2
16,0.045639332,0.95436066,S100,2
17,0.006223321,0.9937767,S100,2
18,0.2695727,0.73042727,S100,2
19,0.28665057,0.7133494,S100,2
20,0.6038968,0.39610317,S100,2
21,0.7160816,0.28391844,S100,2
22,0.83844256,0.16155739,S100,2
23,0.89732724,0.102672726,S100,2
24,0.5812454,0.41875458,S100,2
25,0.46722892,0.5327711,S100,2
