,0,1,id,block
0,0.9999999,7.9970185e-08,S100,1
1,0.46748888,0.5325111,S100,1
2,0.5313926,0.46860743,S100,1
3,0.6032495,0.39675042,S100,1
4,0.68097734,0.31902266,S100,1
5,0.4553952,0.54460484,S100,1
6,0.41603568,0.5839643,S100,1
7,0.84931666,0.15068333,S100,1
8,0.8882803,0.11171971,S100,1
9,0.5898248,0.4101752,S100,1
10,0.15315892,0.8468411,S100,1
11,0.90066254,0.09933745,S100,1
12,0.0596213,0.9403787,S100,1
13,0.6280298,0.37197024,S100,1
14,0.40250626,0.59749377,S100,1
15,0.10319746,0.8968025,S100,1
16,0.37853137,0.62146866,S100,1
17,0.52062875,0.47937128,S100,1
18,0.99282974,0.007170232,S100,1
19,0.70744246,0.29255754,S100,1
20,0.73804075,0.26195925,S100,1
21,0.8036973,0.19630274,S100,1
22,0.05327108,0.94672894,S100,1
23,0.53965145,0.46034852,S100,1
24,0.5431451,0.45685488,S100,1
25,0.16423249,0.83576745,S100,1
26,0.013564005,0.98643595,S100,1
27,0.98543197,0.014567976,S100,1
28,0.0015536316,0.9984464,S100,1
29,0.021284183,0.9787159,S100,1
30,0.26755083,0.7324491,S100,1
31,0.7644896,0.23551041,S100,1
32,0.9930177,0.006982302,S100,1
33,0.830427,0.169573,S100,1
34,0.11740185,0.8825981,S100,1
35,0.28438473,0.7156153,S100,1
36,0.6534252,0.3465748,S100,1
37,0.3488252,0.65117484,S100,1
38,0.33913505,0.6608649,S100,1
39,0.44387126,0.5561288,S100,1
40,0.6828519,0.31714806,S100,1
41,0.5221006,0.47789937,S100,1
42,0.29718906,0.70281094,S100,1
43,0.42891544,0.5710846,S100,1
44,0.49058804,0.50941205,S100,1
45,0.49638385,0.50361615,S100,1
46,0.9976052,0.0023948015,S100,1
47,0.5231253,0.47687474,S100,1
0,0.9999999,7.9970185e-08,S100,2
1,0.055562187,0.9444378,S100,2
2,0.026108412,0.97389156,S100,2
3,0.9845509,0.015449099,S100,2
4,0.9326133,0.06738666,S100,2
5,0.061298627,0.93870133,S100,2
6,0.96113086,0.038869083,S100,2
7,0.9536003,0.04639968,S100,2
8,0.5355362,0.46446377,S100,2
9,0.5194458,0.48055416,S100,2
10,0.7710621,0.22893797,S100,2
11,0.6061044,0.39389566,S100,2
12,0.15624425,0.8437558,S100,2
13,0.82527643,0.17472357,S100,2
14,0.16703719,0.83296275,S100,2
15,0.13237903,0.86762094,S100,2
16,0.0064371815,0.9935628,S100,2
17,0.5694604,0.43053964,S100,2
18,0.0749233,0.92507666,S100,2
19,0.2669747,0.7330253,S100,2
20,0.9180829,0.08191703,S100,2
21,0.002815982,0.997184,S100,2
22,0.7047269,0.29527307,S100,2
23,0.20318867,0.79681134,S100,2
24,0.070254,0.929746,S100,2
25,0.48463455,0.5153654,S100,2
26,0.19836204,0.80163795,S100,2
27,0.19237943,0.8076206,S100,2
28,0.20417154,0.79582846,S100,2
29,0.13140714,0.8685929,S100,2
30,0.21375792,0.786242,S100,2
31,0.07500739,0.9249926,S100,2
32,0.42964822,0.5703517,S100,2
33,0.073157966,0.92684203,S100,2
34,0.20904149,0.7909585,S100,2
35,0.18853511,0.81146485,S100,2
36,0.37921467,0.6207853,S100,2
37,0.12906535,0.8709346,S100,2
38,0.9033622,0.09663779,S100,2
39,0.7189786,0.28102145,S100,2
40,0.005741529,0.9942584,S100,2
41,0.9996113,0.0003887426,S100,2
42,0.62132704,0.37867293,S100,2
43,0.011670241,0.98832977,S100,2
44,0.99924076,0.0007593,S100,2
45,0.99975556,0.0002444695,S100,2
46,0.74425125,0.25574872,S100,2
47,0.97112346,0.028876564,S100,2
0,1.0,5.424495e-09,S100,3
1,0.14363109,0.8563689,S100,3
2,0.8412412,0.15875882,S100,3
3,0.7649915,0.23500851,S100,3
4,0.99994147,5.856166e-05,S100,3
5,0.05702256,0.9429775,S100,3
6,0.84056777,0.15943223,S100,3
7,0.44512323,0.55487674,S100,3
8,0.65208787,0.34791213,S100,3
9,0.7387897,0.26121038,S100,3
10,0.9834104,0.016589584,S100,3
11,0.82356626,0.17643376,S100,3
12,0.6199945,0.38000545,S100,3
13,0.507006,0.49299398,S100,3
14,0.30214816,0.6978519,S100,3
15,0.67416793,0.32583204,S100,3
16,0.7398043,0.26019567,S100,3
17,0.8651825,0.13481745,S100,3
18,0.22645862,0.7735414,S100,3
19,0.31775624,0.6822438,S100,3
20,0.7883642,0.2116358,S100,3
21,0.72642374,0.27357617,S100,3
22,0.9466399,0.053360105,S100,3
23,0.77905416,0.22094585,S100,3
24,0.038808543,0.9611914,S100,3
25,0.5725089,0.4274912,S100,3
26,0.0076239733,0.992376,S100,3
27,0.007928255,0.9920717,S100,3
28,0.0075605107,0.9924395,S100,3
29,0.21342473,0.78657526,S100,3
30,0.9463891,0.053610902,S100,3
31,0.7134422,0.28655773,S100,3
32,0.6470894,0.35291055,S100,3
33,0.00014642751,0.9998535,S100,3
34,0.97275376,0.02724632,S100,3
35,0.13451564,0.8654843,S100,3
36,0.9980763,0.0019236928,S100,3
37,0.3293697,0.6706303,S100,3
38,0.75925636,0.24074368,S100,3
39,0.0014148692,0.9985851,S100,3
40,0.17492765,0.82507235,S100,3
41,0.7076873,0.29231265,S100,3
42,0.036589894,0.9634101,S100,3
43,0.7480296,0.25197038,S100,3
44,0.0029314598,0.9970686,S100,3
45,0.056875896,0.9431241,S100,3
46,0.019339575,0.9806605,S100,3
47,0.2447316,0.75526845,S100,3
0,1.0,5.424495e-09,S100,4
1,0.2723658,0.7276342,S100,4
2,0.901716,0.098284006,S100,4
3,0.023090221,0.97690976,S100,4
4,0.20416743,0.7958325,S100,4
5,0.29051885,0.7094811,S100,4
