sid,pre accu,post accu
S100,,[0.6875     0.77083333 0.625      0.6875    ]
S91,,[0.83333333 0.83333333 0.64583333 0.70833333]
S92,,[0.8125     0.77083333 0.95833333 0.95833333]
S93,,[0.83333333 0.75       0.60416667 0.8125    ]
S94,,[0.89583333 0.83333333 0.8125     0.89583333]
S95,,[0.89583333 0.83333333 0.77083333 0.9375    ]
S96,,[0.91666667 0.95833333 0.95833333 0.95833333]
S97,,[0.79166667 0.8125     0.83333333 0.89583333]
S98,,[0.89583333 0.83333333 0.77083333 0.9375    ]
S99,,[0.75       0.8125     0.85416667 0.79166667]
