,0,1,id,block
0,0.50134826,0.4986518,S100,0
1,0.34767565,0.6523243,S100,0
2,0.38508222,0.61491776,S100,0
3,0.27543676,0.72456324,S100,0
4,0.18229355,0.8177064,S100,0
5,0.27088264,0.7291174,S100,0
6,0.18082891,0.819171,S100,0
7,0.14166133,0.85833865,S100,0
8,0.18286619,0.81713384,S100,0
9,0.096223064,0.90377694,S100,0
10,0.15383013,0.8461698,S100,0
11,0.09974721,0.9002528,S100,0
12,0.09067343,0.9093266,S100,0
13,0.154022,0.845978,S100,0
14,0.06787149,0.93212855,S100,0
15,0.07497499,0.92502505,S100,0
16,0.17990707,0.820093,S100,0
17,0.10665956,0.89334047,S100,0
18,0.1256471,0.8743529,S100,0
19,0.26713654,0.73286337,S100,0
20,0.40381715,0.5961829,S100,0
21,0.47789708,0.5221029,S100,0
22,0.45815283,0.54184717,S100,0
23,0.24064735,0.7593526,S100,0
24,0.3898032,0.61019677,S100,0
25,0.60136133,0.3986387,S100,0
26,0.18571456,0.8142854,S100,0
27,0.3417254,0.6582746,S100,0
28,0.2740947,0.7259053,S100,0
29,0.22194962,0.7780504,S100,0
30,0.25505146,0.74494857,S100,0
31,0.16708036,0.83291966,S100,0
32,0.24670555,0.75329447,S100,0
33,0.35710678,0.6428932,S100,0
34,0.42674395,0.573256,S100,0
35,0.4410731,0.5589269,S100,0
36,0.37834078,0.6216593,S100,0
37,0.35799152,0.6420084,S100,0
38,0.4920598,0.5079402,S100,0
39,0.30863252,0.6913675,S100,0
40,0.3554971,0.64450294,S100,0
41,0.49219725,0.5078028,S100,0
42,0.2958191,0.70418084,S100,0
43,0.42876562,0.57123435,S100,0
44,0.3790748,0.62092525,S100,0
45,0.36173785,0.63826215,S100,0
46,0.64987195,0.35012802,S100,0
47,0.4565647,0.54343534,S100,0
48,0.5583216,0.44167838,S100,0
49,0.4586508,0.54134923,S100,0
50,0.2803014,0.71969867,S100,0
51,0.6531516,0.3468484,S100,0
52,0.6754119,0.32458812,S100,0
53,0.5758692,0.4241309,S100,0
54,0.4893458,0.51065415,S100,0
55,0.4443601,0.55563986,S100,0
56,0.41476813,0.58523196,S100,0
57,0.4531883,0.5468117,S100,0
58,0.45267302,0.54732704,S100,0
59,0.40874872,0.59125125,S100,0
60,0.54275686,0.45724317,S100,0
61,0.4845527,0.51544726,S100,0
62,0.3551515,0.64484847,S100,0
63,0.65058887,0.34941122,S100,0
64,0.52288926,0.47711077,S100,0
65,0.32421204,0.675788,S100,0
66,0.42166775,0.57833225,S100,0
67,0.4590607,0.54093933,S100,0
68,0.28162915,0.7183709,S100,0
69,0.40928778,0.59071225,S100,0
70,0.2622405,0.7377595,S100,0
71,0.41661763,0.58338237,S100,0
72,0.29545474,0.7045453,S100,0
73,0.57710457,0.42289543,S100,0
74,0.5017799,0.4982201,S100,0
75,0.4545463,0.5454537,S100,0
