id, varRNN, varRL
A2GXLM74C7BDI8, -127.49685850721507, -143.27919797557465
A2HJDLSU95MH8Q, -115.41132188107369, -180.34548313793934
A2HRAAY4QRTM7S, -139.27862013227167, -111.05189172586967
A2JBI6GEDB1856, -139.59557816833774, -110.09929574599818
A2K6Z7C7Z6VTBF, -226.45853309102537, -88.28949869024103
A2KQFLUT7652DA, -115.713346099552, -114.71159350580554
A2L26DMSVUEDP6, -124.0894744124065, -184.89139785919457
A2LO8K013TX9FA, -117.17298290876477, -278.228748173578
A2LOLCBOJZ80DD, -104.69237462071318, -121.73955848209596
A2MYP4G1RB2X2P, -113.8135407025566, -107.35246968283161
A2P22X4GQWQ8Z1, -115.81871825934424, -146.8416815233335
A2PE83MK76CRMI, -131.75118112479484, -116.74952666568922
A2QAJ9ZTN8YY89, -127.33387758959795, -233.71483551766218
A2QCJ7Y5ONXD91, -722.7478184410016, -109.89346542023245
A2QPMJ4GADLUW2, -129.48460917459684, -238.16117978869502
A2R1011DR8EXHQ, -102.9334404733552, -120.79269850422584
A2R1LWOGQJTGRL, -92.74240210774639, -109.71871937800903
A2R1YTFK72WMET, -113.82649801385114, -106.88008513737346
A2REKFNIBY9O9K, -129.55704997971156, -110.82857404035045
A2RG00DYDHIS6Q, -726.1759836846433, -117.05635599411785
A2S6QOCFC3EAYH, -103.10658168728816, -137.32025344232864
A2SIHWBR1S6TGF, -136.81261262421586, -111.12973164668597
A2SNAXBDSA5P06, -109.40553689203304, -110.11698865274525
A2TV18A7NQF6I5, -129.87908098367404, -139.30841934184096
A2TXUNEHPTW3Z3, -117.43730476343019, -163.5506825363101
A2V7UNVBF8SQAK, -728.4144137183897, -111.93295449628407
A2VN59CZEQ7P0R, -101.41008933034517, -169.09027300839708
A2VNE375MVLU8J, -101.64047701397676, -141.30720582907125
A2W02ACKYETLOA, -118.83537293858868, -113.15598919278632
A2WH1XDJ91OSFA, -133.45724184723892, -176.51599615924562
A2YNLDUCO22THM, -127.29242126554135, -110.88312301202134
A2YUEEOJT5NQXV, -116.53793370582844, -194.4704884203262
A2ZEE0T533JG2X, -99.7874705907737, -122.16585891663412
A2ZOHYAWFY5TQI, -121.31351154511722, -111.07212060140724
A30J4IZCMCR31F, -123.72306255028165, -128.9869420793936
A31IIDT1S31E25, -100.47859384170785, -111.03818418847169
A31PQA4EYWSQI4, -85.66187951064691, -105.02548716330845
A32156CGIMNLBM, -173.5216452780059, -111.78001982230131
A33UTM8NL7S0D6, -127.51617785363727, -105.0627040628243
A345TDMHP3DQ3G, -133.20683936742344, -154.42250118081242
A34CPKFZXBX1PO, -122.53375466394735, -192.62185182961701
A34XR21XZ4ZPMB, -139.36291766057448, -113.79915366559628
A3503625JEYO1I, -131.27359060149786, -221.83958279888887
A363NKR14886XG, -136.49867222186737, -182.9666996686139
A3654R5IHKA52J, -122.08555828757954, -105.69811925957558
A36MQHIULG0E6C, -95.31798354908238, -109.14515433145908
A36RRKY24M6NL8, -120.51646745833021, -109.24222444059646
A36YITYE70JBQQ, -124.66329866079948, -145.81624651868182
A37025YQUW9ACI, -728.4144137183897, -111.93295437098783
A373LECBA7JXKD, -110.21268396767853, -107.94389576135137
A376IFMV0UCZP2, -137.0358515019719, -110.43676422025969
A37PNAIK1TKLVS, -104.26983682383926, -367.5942787790065
A37XA1JSSYORAZ, -121.90819792481604, -229.42939310368405
A397NXIY82FXXD, -54.66179213054812, -107.90832247311673
A399A8PB6ITVAG, -122.10971110335655, -111.02930526534058
A39Y2UOHEAD0DT, -118.60557111070369, -142.0649014812775
A3ACSVUU6YI92U, -125.4690105998981, -159.47887650952836
A3APMO8WXVH1V0, -112.72572335262252, -189.0300372891373
A3CDWPBKYDDASL, -118.29565251034487, -113.16357536958766
A3DR9RNUCUM0HF, -143.29381778491057, -157.31079511473416
A3DUAHX5VT0ZMY, -110.49489551565672, -136.6604065986088
A3GEXZD5FXGMHD, -103.30722198168377, -138.48398071699998
A3HHY0ZZ6PC2YW, -65.895832557911, -110.49114649242087
A3HP7L563UF5DW, -130.04761738886947, -206.59114004068024
A3I4Q8EW2ZLXSU, -214.14344731655103, -111.51075993365228
A3IOPUZ29U29SA, -121.09726913070055, -110.50860045445899
A3J2DV36CJYSXQ, -193.33615829073509, -112.09940500824106
A3KKY9HXZRRAIV, -135.2519284955163, -147.9875704780161
A3L1E2BDYZGGY5, -94.98346961878633, -108.10409495605842
A3L2VS3998R77L, -149.33307368490998, -130.4114549909368
A3LMVIJG7ND5UN, -128.29574105772184, -140.5509762518495
A3LT1TCMEGY73D, -100.31685468006623, -110.70949571887678
A3M6YNC0RI36QY, -327.9688100747295, -111.47257436071604
A3MA5BJ4I2JAO2, -149.1863557253183, -197.95345947729817
A3MF22SGH75VO3, -114.75437714641923, -138.32394776681278
A3MKQ62CNO0MM8, -115.017195088742, -156.5805131275328
A3MLNAZCS0Y2QP, -110.69013877539571, -293.32180359915725
A3N62A1YVDMKS5, -130.99989300412707, -105.59443715226475
A3NAEEY1J3T56D, -130.2508732655569, -109.14234583842041
A3NI2W5HH47HP6, -135.90697676951655, -193.82377335787746
A3NM4Y7V4UEMM3, -116.51723976418788, -131.85248654311204
A3NQUEB4PGNKZ7, -115.43324101917848, -109.52982465837556
A3NQXTG2PLSHSV, -162.69127635716575, -110.73894258004866
A3O9J3V0K06IP2, -114.5008937766356, -108.59048939983667
A3P1BYNYNVNMNA, -125.64401725271308, -109.65943761840994
A3PWRZ67TPKZPU, -112.53778466969807, -111.07969839769427
A3R4ZSD6YI7B7P, -128.24672081689465, -115.60647563955521
A3R6Z6HDL5JGM6, -139.6587827495466, -104.34228729866298
A3RQ6SG91VBOF8, -224.45520866084743, -110.30510161534612
A3RZAUNCBSSMK4, -489.49973826158663, -106.87319204412304
A3S51CYI47OM6K, -163.6580310281061, -110.21621175355142
A3S5XPHDMQ2ESR, -108.703982507153, -100.95942122017694
A3STW7EL76T5YN, -74.4701727533487, -113.30462121344516
A3TRNNPY5KJEUR, -91.81563806058357, -92.44383183422416
A3UJAEUA1BAK8O, -69.28588076485812, -127.8855097144713
A3UYF2OT5REMG0, -106.12829024995801, -109.13886334961614
A3V06PKJGI7OY, -91.14128329698599, -109.97564025564385
A3VFQR2OR8L4CU, -142.41531015332237, -110.26864506312727
A3VK7AHISCDGAM, -124.32807048755312, -109.72792431874656
A3VPD34C23PQTQ, -113.24981978067838, -103.18094627598083
A3XU8C72O6LCD, -109.20945892266685, -184.47454486027323
A47UGZ5QR0VV9, -90.11758940146458, -65.9976191583018
A5LBQCECTTYXZ, -96.98750089097254, -109.59823915877769
A5M58F7N23SEE, -155.50474889276214, -113.99814106431234
A5NRU6MXE2ZCC, -14.248204764140967, -106.94482859755348
A5XXFZT973KSF, -114.68590854166423, -181.5594085481697
A7G6TFAYTV2FC, -112.60021850121016, -125.69608011398986
A7O6BHXX3BW97, -131.70347268423237, -111.05831556176746
A8EPYZKX470Z2, -116.78701586450751, -110.56694726005598
A8JKAE3S49ZB, -104.96453623756695, -108.69349968470297
A9EQ4FWCUQVBL, -111.5339107166909, -109.96924505104334
A9XRCLB9YQA31, -728.3473426990543, -108.67013056387056
AA1Y56MOQY6X3, -82.25498626535693, -109.29916439689461
AAADOFXQJAVKR, -163.27758187972103, -103.8612848552908
AALXX2P1V0A41, -132.99944260060786, -156.36047365432128
AAP4Q6KBJ2NRO, -136.08334831553407, -109.98401820786597
AAVXVUCG3TY5E, -64.78023288913806, -107.63221512406274
