sid,pre accu,post accu,,
,,,,
S226,,[0.48734177],,0.48734177
,,,,
S227,,[0.62337662],,0.62337662
,,,,
S228,,[0.74213836],,0.74213836
,,,,
S229,,[0.7375],,0.7375
,,,,
S230,,[0.62264151],,0.62264151
,,,,
S231,,[0.69375],,0.69375
,,,,
S232,,[0.64150943],,0.64150943
,,,,
S233,,[0.5625],,0.5625
,,,,
S234,,[0.70063694],,0.70063694
,,,,
S235,,[0.6],,0.6
,,,,
S236,,[0.66666667],,0.66666667
,,,,
S237,,[0.78125],,0.78125
,,,,
S238,,[0.70625],,0.70625
,,,,
S239,,[0.71875],,0.71875
,,,,
S240,,[0.7375],,0.7375
,,,,
S241,,[0.55696203],,0.55696203
,,,,
S242,,[0.79375],,0.79375
,,,,
S243,,[0.675],,0.675
,,,,
S244,,[0.62264151],,0.62264151
,,,,
S245,,[0.62264151],,0.62264151
,,,,
S246,,[0.63291139],,0.63291139
,,,,
S247,,[0.46153846],,0.46153846
,,,,
S248,,[0.625],,0.625
,,,,
S249,,[0.6],,0.6
,,,,
S250,,[0.64779874],,0.64779874
,,,,
S251,,[0.63694268],,0.63694268
,,,,
,,,,0.649884524
