sid,pre accu,post accu
A362RXUHDXF7EA,,[0.49056604]
A36EDYMS6VYHW1,,[0.51875]
A36PRTZFECB76C,,[0.4591195]
A36UNYMDBED99W,,[0.50314465]
A371H3PQPR2Z8J,,[0.57594937]
A377LTGWJKY2IW,,[0.475]
A3793XPPZARPS3,,[0.51333333]
A3B2YRXL26RPVH,,[0.43396226]
A3B9QNYDDXGL9I,,[0.4375]
A3BBR5O4W6XHBV,,[0.52201258]
A3BLT959N9AEEK,,[0.5]
A3C2DKCZLI304P,,[0.49606299]
A3C8JI69WPTKWH,,[0.45]
A3CWEN6Y21V7TL,,[0.48101266]
A3DDYGSM8CLJW,,[0.51898734]
A3E65HYKUDT1D5,,[0.47435897]
A3FJ3XMXO8UAJ0,,[0.5408805]
A3FOXS9UVYWKDP,,[0.45]
A3G73IWKEPXRUW,,[0.49685535]
A3GHYD28ZZ3IEN,,[0.4625]
A3GMRPF5MCQVGV,,[0.44375]
A3GP8FXH7J96UK,,[0.52201258]
A3GRGGYSMH5PNI,,[0.625]
A3HSONMX6LNZR4,,[0.40251572]
A3I2PT6W0FP7BR,,[0.48101266]
A3IIA92PUAI331,,[0.5625]
A3IU2E7QCWYEZI,,[0.5]
A3JAU7FJ0JJ1IU,,[0.475]
A3JCWV0B4T0LW9,,[0.4375]
A3JDCVM1OXXOFG,,[0.44303797]
A3JPWEQUCQNQDB,,[0.55696203]
A3K5YBCBVBM3RY,,[0.50322581]
A3KTXAY9ZXOGWH,,[0.5125]
A3KWYUV3VSNIZA,,[0.40880503]
A3L8LSM7V7KX3T,,[0.43125]
A3LI98SL8OEDC0,,[0.52903226]
A3MTNLK7KQ89WE,,[0.525]
A3OHYXTHW11HS7,,[0.55625]
A3OX9C8S39U9HJ,,[0.50980392]
A3PFU4042GIQLE,,[0.52258065]
A3PTOOTI7ESD5W,,[0.525]
A3QIG18VHBXBSZ,,[0.52201258]
A3QQ2JW1N0Z49X,,[0.45625]
A3R1X7QCXV61JJ,,[0.38709677]
A3R5P4URN7QKU8,,[0.51875]
A3R7L5UI9IEWGD,,[0.48125]
A3RK6823JUAI1C,,[0.51875]
A3SOJ9C6L2U7AQ,,[0.49685535]
A3V5O8N34LPUSG,,[0.525]
A3VO1VCYS30YGW,,[0.4556962]
A5BCSSPC180AG,,[0.46875]
A5E2P5F1AXYZ1,,[0.46875]
A5GMIA9XD9KKZ,,[0.48026316]
A5VBXI0L63405,,[0.47169811]
A5ZNFLOZ9UVUO,,[0.46875]
A5ZZAWZSH0AMK,,[0.49367089]
A6AU0NC2XUGW,,[0.45283019]
A827A0PSD3R10,,[0.54375]
A8E99XNOTT390,,[0.51875]
A8X1YI90JPSGP,,[0.58125]
AA3ARQT2KLA04,,[0.45]
AB3L4DBGHX7PG,,[0.5]
ABF5ENVB19SC4,,[0.57232704]
ACSS93E03ZUGX,,[0.49681529]
