sid,pre accu,post accu
S226,,[0.59119497]
S227,,[0.62893082]
S228,,[0.44375]
S229,,[0.58125]
S230,,[0.6625]
S231,,[0.57324841]
S232,,[0.60625]
S233,,[0.64375]
S234,,[0.49342105]
S235,,[0.59748428]
S236,,[0.62893082]
S237,,[0.68125]
S238,,[0.6]
S239,,[0.58125]
S240,,[0.56875]
S241,,[0.52866242]
S242,,[0.66225166]
S243,,[0.65]
S244,,[0.61146497]
S245,,[0.6625]
S246,,[0.68211921]
S247,,[0.9858156]
S248,,[0.55625]
S249,,[0.61146497]
S250,,[0.53896104]
S251,,[0.47133758]
S252,,[0.67295597]
S253,,[0.6]
S254,,[0.64556962]
S255,,[0.49032258]
S256,,[0.51898734]
S257,,[0.72435897]
S258,,[0.67721519]
S259,,[0.5625]
S260,,[0.5875]
S261,,[0.45]
S262,,[0.52229299]
