sid,pre accu,post accu,,
,,,,
S226,,[0.6163522],,0.6163522
,,,,
S227,,[0.67295597],,0.67295597
,,,,
S228,,[0.45625],,0.45625
,,,,
S229,,[0.60625],,0.60625
,,,,
S230,,[0.65],,0.65
,,,,
S231,,[0.58598726],,0.58598726
,,,,
S232,,[0.6125],,0.6125
,,,,
S233,,[0.6125],,0.6125
,,,,
S234,,[0.48684211],,0.48684211
,,,,
S235,,[0.65408805],,0.65408805
,,,,
S236,,[0.62264151],,0.62264151
,,,,
S237,,[0.73125],,0.73125
,,,,
S238,,[0.5625],,0.5625
,,,,
S239,,[0.6],,0.6
,,,,
S240,,[0.56875],,0.56875
,,,,
S241,,[0.50955414],,0.50955414
,,,,
S242,,[0.59602649],,0.59602649
,,,,
S243,,[0.6375],,0.6375
,,,,
S244,,[0.62420382],,0.62420382
,,,,
S245,,[0.66875],,0.66875
,,,,
S246,,[0.62251656],,0.62251656
,,,,
S247,,[0.9858156],,0.9858156
,,,,
S248,,[0.54375],,0.54375
,,,,
S249,,[0.62420382],,0.62420382
,,,,
S250,,[0.58441558],,0.58441558
,,,,
S251,,[0.50955414],,0.50955414
,,,,
S252,,[0.70440252],,0.70440252
,,,,
S253,,[0.55],,0.55
,,,,
S254,,[0.67088608],,0.67088608
,,,,
S255,,[0.51612903],,0.51612903
,,,,
S256,,[0.60126582],,0.60126582
,,,,
S257,,[0.73076923],,0.73076923
,,,,
S258,,[0.65822785],,0.65822785
,,,,
S259,,[0.575],,0.575
,,,,
S260,,[0.60625],,0.60625
,,,,
S261,,[0.43125],,0.43125
,,,,
S262,,[0.52229299],,0.52229299
,,,,
,,,,0.608422453
