,0,1,id,block
0,0.4999664,0.5000336,S100,1
1,0.5006155,0.4993845,S100,1
2,0.50079185,0.49920815,S100,1
3,0.5007447,0.4992554,S100,1
4,0.50101346,0.49898648,S100,1
5,0.5009702,0.4990299,S100,1
6,0.5010622,0.49893785,S100,1
7,0.50107765,0.4989223,S100,1
8,0.501037,0.49896303,S100,1
9,0.5010584,0.49894163,S100,1
10,0.5012324,0.49876767,S100,1
11,0.50117695,0.49882302,S100,1
12,0.50145257,0.49854752,S100,1
13,0.5014024,0.49859762,S100,1
14,0.5012964,0.49870363,S100,1
15,0.50154054,0.49845943,S100,1
16,0.50161767,0.49838242,S100,1
17,0.5015862,0.49841377,S100,1
18,0.5015261,0.49847382,S100,1
19,0.50149953,0.49850044,S100,1
20,0.50156265,0.4984374,S100,1
21,0.5014701,0.49852985,S100,1
22,0.5014615,0.49853843,S100,1
23,0.50131744,0.4986826,S100,1
24,0.501397,0.49860296,S100,1
25,0.5012443,0.4987557,S100,1
26,0.50112134,0.4988787,S100,1
27,0.5012121,0.49878788,S100,1
28,0.50110435,0.4988957,S100,1
29,0.501251,0.49874893,S100,1
30,0.5011971,0.49880293,S100,1
31,0.5013038,0.49869624,S100,1
32,0.50131744,0.49868256,S100,1
33,0.50132614,0.49867383,S100,1
34,0.5013708,0.49862918,S100,1
35,0.50133973,0.4986603,S100,1
36,0.50150317,0.49849683,S100,1
37,0.5015698,0.49843013,S100,1
38,0.5013504,0.49864966,S100,1
39,0.501436,0.49856395,S100,1
40,0.5014567,0.4985433,S100,1
41,0.5014184,0.49858162,S100,1
42,0.5015654,0.4984346,S100,1
43,0.5016468,0.4983532,S100,1
44,0.5016574,0.49834257,S100,1
45,0.50167865,0.49832132,S100,1
46,0.50146437,0.49853566,S100,1
47,0.50159097,0.49840903,S100,1
0,0.4999664,0.5000336,S100,2
1,0.5001676,0.49983242,S100,2
2,0.5001257,0.4998743,S100,2
3,0.4998921,0.5001079,S100,2
4,0.5000827,0.49991736,S100,2
5,0.49995273,0.5000473,S100,2
6,0.4999756,0.50002444,S100,2
7,0.49999008,0.50000995,S100,2
8,0.49981204,0.500188,S100,2
9,0.49986577,0.5001343,S100,2
10,0.49998793,0.5000121,S100,2
11,0.49998838,0.5000116,S100,2
12,0.5002973,0.4997027,S100,2
13,0.50013685,0.4998632,S100,2
14,0.5000894,0.49991053,S100,2
15,0.5002837,0.49971634,S100,2
16,0.5003273,0.4996728,S100,2
17,0.5001524,0.49984756,S100,2
18,0.5001508,0.49984917,S100,2
19,0.50008225,0.49991778,S100,2
20,0.50003946,0.49996054,S100,2
21,0.5000644,0.49993557,S100,2
22,0.5001091,0.49989092,S100,2
23,0.4997635,0.50023645,S100,2
24,0.49993894,0.5000611,S100,2
25,0.49971363,0.5002864,S100,2
26,0.4995966,0.5004034,S100,2
27,0.49976254,0.5002374,S100,2
28,0.4995945,0.50040555,S100,2
29,0.49989906,0.500101,S100,2
30,0.49971524,0.50028473,S100,2
31,0.49991104,0.50008893,S100,2
32,0.4999206,0.50007933,S100,2
33,0.5000118,0.49998823,S100,2
34,0.49997714,0.5000228,S100,2
35,0.49998564,0.5000144,S100,2
36,0.5000219,0.49997813,S100,2
37,0.50005925,0.49994072,S100,2
38,0.49986222,0.5001378,S100,2
39,0.49993804,0.5000619,S100,2
40,0.50008416,0.49991587,S100,2
41,0.49997243,0.50002754,S100,2
42,0.5002218,0.49977827,S100,2
43,0.5003176,0.49968243,S100,2
44,0.50018936,0.49981064,S100,2
45,0.50020516,0.4997948,S100,2
46,0.49990958,0.50009036,S100,2
47,0.5001929,0.49980715,S100,2
0,0.4998029,0.50019705,S100,3
1,0.5003278,0.4996722,S100,3
2,0.5008039,0.49919614,S100,3
3,0.50091374,0.4990863,S100,3
4,0.50092596,0.49907407,S100,3
5,0.5010388,0.49896115,S100,3
6,0.5008456,0.49915433,S100,3
7,0.5011648,0.4988352,S100,3
8,0.5010982,0.49890175,S100,3
9,0.5012369,0.49876305,S100,3
10,0.5013341,0.49866593,S100,3
11,0.5014023,0.49859768,S100,3
12,0.50145465,0.4985454,S100,3
13,0.50148386,0.4985162,S100,3
14,0.5016256,0.4983744,S100,3
15,0.5015987,0.49840128,S100,3
16,0.5014699,0.49853006,S100,3
17,0.5015256,0.49847442,S100,3
18,0.5013481,0.4986519,S100,3
19,0.5013148,0.49868515,S100,3
20,0.5014811,0.49851882,S100,3
21,0.5013493,0.49865073,S100,3
22,0.5014416,0.49855843,S100,3
23,0.50130355,0.49869642,S100,3
24,0.5013166,0.49868342,S100,3
25,0.50144327,0.49855676,S100,3
26,0.5013873,0.4986127,S100,3
27,0.5013562,0.49864382,S100,3
28,0.50132847,0.49867153,S100,3
29,0.5013423,0.49865773,S100,3
30,0.50136036,0.49863958,S100,3
31,0.5014588,0.4985412,S100,3
32,0.5015425,0.49845755,S100,3
33,0.5015124,0.49848765,S100,3
34,0.50139403,0.498606,S100,3
35,0.501512,0.49848795,S100,3
36,0.5013937,0.49860632,S100,3
37,0.5016511,0.49834883,S100,3
38,0.5015092,0.4984908,S100,3
39,0.50148684,0.49851316,S100,3
40,0.50164515,0.49835485,S100,3
41,0.5016714,0.49832857,S100,3
42,0.501548,0.49845198,S100,3
43,0.5013151,0.49868482,S100,3
44,0.5011531,0.49884692,S100,3
45,0.50104886,0.49895117,S100,3
46,0.5009992,0.4990008,S100,3
47,0.5013122,0.4986879,S100,3
0,0.4998029,0.50019705,S100,4
1,0.49984154,0.5001585,S100,4
2,0.5002071,0.49979278,S100,4
3,0.50015664,0.49984333,S100,4
4,0.5001184,0.49988163,S100,4
5,0.5001456,0.49985445,S100,4
6,0.49980378,0.5001962,S100,4
7,0.5001666,0.49983343,S100,4
8,0.5000646,0.4999354,S100,4
9,0.50017434,0.4998257,S100,4
10,0.5001254,0.49987462,S100,4
11,0.5001294,0.49987063,S100,4
12,0.50022995,0.49977002,S100,4
13,0.50012743,0.49987265,S100,4
14,0.5003732,0.49962687,S100,4
15,0.50015223,0.4998478,S100,4
16,0.49997935,0.5000207,S100,4
17,0.5000175,0.49998245,S100,4
18,0.49993443,0.5000655,S100,4
19,0.4999062,0.50009376,S100,4
20,0.49995685,0.50004315,S100,4
21,0.49977565,0.50022435,S100,4
22,0.4999118,0.5000882,S100,4
23,0.49987018,0.5001298,S100,4
24,0.49994367,0.5000563,S100,4
25,0.4999074,0.50009257,S100,4
26,0.4999887,0.50001127,S100,4
27,0.4999229,0.50007707,S100,4
28,0.49976435,0.5002357,S100,4
29,0.4997607,0.5002393,S100,4
30,0.4998172,0.50018287,S100,4
31,0.5000632,0.49993682,S100,4
32,0.5001856,0.4998144,S100,4
33,0.50019157,0.49980843,S100,4
34,0.49996367,0.5000363,S100,4
35,0.500038,0.49996203,S100,4
36,0.5000566,0.49994344,S100,4
37,0.500242,0.499758,S100,4
38,0.5001321,0.499868,S100,4
39,0.5001577,0.49984226,S100,4
40,0.5001843,0.4998157,S100,4
41,0.50024664,0.49975336,S100,4
42,0.5000282,0.4999718,S100,4
43,0.49973232,0.5002677,S100,4
44,0.4995839,0.5004161,S100,4
45,0.4995853,0.5004147,S100,4
46,0.49951202,0.500488,S100,4
47,0.49990842,0.5000916,S100,4
0,0.4998082,0.5001918,S91,1
1,0.50039804,0.49960196,S91,1
2,0.5006835,0.49931657,S91,1
3,0.50113535,0.4988646,S91,1
